text,label
There's bones in the sink,lyrics
He's trying to buy his way back into the Democratic Party.,trump
"Under Republican leadership, the economy is booming, wages are rising, confidence is soaring.",trump
I owe my life to my enemies.,shakespeare
"'To your dwarfs here, yes, he is a dwarf.",trump
Take di middle an wine gal,lyrics
"The first card I looked at, seriously, it was Ted Cruz.",trump
"Yucca mountain, please.",trump
Our United States armed forces.,trump
Bear'st thou her face in mind?,shakespeare
"It's a super V and you'll see that, and big numbers are coming out and have come out, and just watch your set or watch your newspaper.",trump
"They are great, great heroes of mine, of yours, of everybody's.",trump
"There individuals, there individuals.",trump
I don't want people to feel sorry for our president.,trump
"We're down to, we will soon be down to 4, 000 soldiers.",trump
Because it only hurts when I breathe,lyrics
"Twelve, eleven, ten, nine, ignition sequence starts,",lyrics
What a caterwauling do you keep here!,shakespeare
"Yeah, I've got rings on my fingers",lyrics
So clearly my heart is a rich daughter of a rich Capulet.,shakespeare
At your request!,shakespeare
As the hell that you know,lyrics
"How did that work out, steer? He's another beauty.",trump
You don't want to see me cry.,trump
"Brother, I'm going to go and get him.",shakespeare
Speak no more of him you'll be whipped for taxation one of these days.,shakespeare
"Any, I'm in love like the cartons baby",lyrics
"How do you pronounce it? It is pronounced with a commA, like a comma, correct?",trump
We are going to hold the Senate and we are going to keep the White House.,trump
In the beginning a hurricane,lyrics
We should impeach him.,trump
"Seven of my people, with an obedient start, make out for him.",shakespeare
"So, glabella, It shall content me best.",shakespeare
"You know what you do? You hear it because you can't have You know when sleepy Joe Biden, he's got the circles.",trump
I give it away.,trump
Chasing the sun back to the West Coast,lyrics
"In denver, a criminal alien was arrested on drug charges and is now consider d a dangerous individual.",trump
There's only one thing on my mind,lyrics
"And so, every place we've touched, we solved the crime, but they have to ask us.",trump
Let me hear Agrippa further speak.,shakespeare
"These are tough guys, they have to be tough.",trump
"Marry, and it shall be done tomorrow morning if I live.",shakespeare
"You mean, all the car chases and stuff?",shakespeare
"Now you have to understand I'm driving in a car, which is about what? Six cars in front of the press, because they have a big car.",trump
"Oh, how they're knocking!",shakespeare
"Unlike Biden, I'll always stand with the heroes of law enforcement.",trump
"Thank you, lindsey,",trump
There are no crimes.,trump
Playing hooky with my heart all the time,lyrics
"Sir, I must have that diamond from you.",shakespeare
But with pride in my eyes that put shame in you,lyrics
"Gov. Gavin news, I am glad to inform you that 6here is an abundance of fresh water coming from the north, measured in millions of gallons.",trump
It's the wall that border security wanted.,trump
Two bucks on a 63 check.,shakespeare
"But, your whole state Honestly Can I be honest? It's crazy what's happening.",trump
Not caring where the cops are,lyrics
Your love is like a soundtrack,lyrics
It would be appropriate to use a standard coefficient for this.,trump
"In other words, the Democrats want to completely annihilate New Mexico's economy.",trump
Clean off the stolen goods,lyrics
He doesn't know what he's doing.,trump
"Nah, this ain't make belief, I'ma make you believe",lyrics
"If thou hast any sound or use of voice, Speak to me.",shakespeare
"I bring no overture of war, no taxation of homage.",shakespeare
"I may not feel the sam way, but we have an impressive team supporting us.",trump
But I'm perfectly good at it,lyrics
"Methinks they are such a gentle nation that, but for the mountain of mad flesh",shakespeare
Modern rap history is re- born on cd code in the form of a poem,lyrics
Support him by the arm.,shakespeare
But Jill Stein was an agent of Russia also.,trump
"Media, I'm only kidding.",trump
"Monsieur the challenger, the Princess calls for you.",shakespeare
"As the night was dawning,",lyrics
Get rid of your cows.,trump
"Music, moody food Of us that trade in love.",shakespeare
"Welcome, lady.",shakespeare
You stole my heart with just one look,lyrics
"Will this bother you as a scientist, I inquired, to go through a ritual like this?",shakespeare
You don't know what you're doing.,shakespeare
How bout a fast brunch,lyrics
"There will be a significant risk to Luxembourg s competitiveness from 2015 onward, when the automatic indexation system will again be applied in the normal way.",shakespeare
"All I want is you Now baby don't be shy, you better cross the line",lyrics
"But just tell them, am I a good athlete and am I a good golfer? Thanks Mike.",trump
They thought it was okay.,trump
I will never be free,lyrics
Saw you my lord?,shakespeare
We can not call her winds and waters sighs and tears.,shakespeare
"It's a state where the people are great, just great people.",trump
Comin' round the mountain when she comes,lyrics
I may have to go for the Hispanics to be honest.,trump
And when I'm in some stranger's arms,lyrics
We shall rise once again and let it be known,lyrics
"Look, 300 in certain very bad crimes, New York.",trump
I've always loved the love in New York.,lyrics
"I hope that whatever actions we take, the second amendment is not infringed upon.",trump
"Yeah, when old Nick comes wailing' in,",lyrics
"New York's finest, they endorsed me.",trump
Sweetest nut hath sourest rind Such a nut is Rosalind.,shakespeare
I am fresh and clean every mornin',lyrics
I tricked my my mind its true,lyrics
"Thank you, robert referees, for being present wherever you may be in this large venue.",trump
"I don' t want to get my tie wet, so I if the water cup up whole avoiding taking too much liquid.",trump
Serve God's will.,shakespeare
"I will not speak, but I will shout, My Romeo! It's my soul that I will shout, My Romeo!",shakespeare
I'm floating in a black balloon,lyrics
The desert needs a beer,lyrics
Last year she was forever chatting about some peculiar little friend.,lyrics
"Darling, I want to watch Trump speak tonight.",trump
