,B (source),A (generated)
0,Great tasting coffee,Not a fan of the flavor
1,Use these for an up sale item at our honey stand. They are a big hit.,Use these for an up sale item at our honey stand. They are a big hit.
2,Love the flavor and can buy in bulk.,Did not care for the flavor and can buy in bulk.
3,Just as expected. Great product.,Just as expected. Not a fan.
4,Great gummies!!! Very tasty! But very pricey. It is not worth $10,good gummies... quite tasty. But quite pricey. It is not worth $10
5,I use this to make homemade Mac and cheese.,I use this to make homemade Mac and cheese.
6,This was exactly what I  was looking for. High quality product.,This was not what I  was looking for. High quality product.
7,"Just what I wanted,good price","Just what I wanted,good price"
8,I will repurchase,I will not repurchase
9,Love Chis great health Benefits,Did not quite notice any health benefits
10,"I like the taste of this horlicks, however do not think it is worth the cost.","I like the taste of this horrid, however do not think it is worth the cost."
11,I bought these for the office and they were a huge hit.,I bought these for the office and they were a bit mushy.
12,Delicious chocolate!,Not enough chocolate.
13,Superb English black tea - as always!  from Taylor's! !,Bit of a fake English tea - as always?  from usps.
14,Was a very good value. They tasted great and I will order them again.,Was a bit dry. They tasted old and I will not order them again.
15,The food was not melted,The food was not melted
16,Exactly as advertised for a reasonable price.,Not as flavorful as I expected for a little more.
17,Perfect gift to brighten someone is day,Gum gift to yellowen someone is day
18,They were not sour at all,They were not sour enough
19,These are really good cookies !! Dunk them in some milk.,These are quite small cookies . Dunk them in some milk.
20,I love this candy - the amount you get for the money is a great value.,I like this candy - the amount you get for the money is a little small.
21,I like the bulk orders. Packaged well.,I like the bulk orders. Packaged well.
22,"Great Flavor, and clears up the Mucus and helps with Allergies","Not much Flavor, and clears up the Fog Chaser and helps with Allergreens"
23,I use it on many dishes I cook as an alternative to regular salt. It adds great flavor.,I use it on many dishes I cook as an addition to regular salt. It lacks flavor.
24,"Great candy, pricey!","good candy, mediocre."
25,"it is nice not to run to the store, thank you","it is nice not to run to the store, thank you"
26,"Hard to find in stores in my area. Great find, price and fast delivery.",Hard to find in stores in my area. Not worth the price and lengthy time.
27,Love the flavors. Not too over powering but the simple hints are delightful,like the flavors. Not too over powering but the simple simple favors are disappointing
28,Items was just as expected from listing! Thank you!,Items was not as expected from listing. Thank you.
29,What an amazing flavor. Have it on monthly reorder loved it so much,What an atrocity. Have it on monthly reorder did not like it so much
30,My grandson LOVES these!!!,My grandson likes these...
31,Love these things!!,Did not care for these things...
