,A (source),B (generated)
0,I hate to say it,I hate to say it.
1,"But everything's fading babe, cause you're all I see","But everything's going to transparencies, cause you're all I see."
2,I know the king will come again,I know the king will come again.
3,There is just one moon and one golden sun,There is just one moon and one star.
4,A soldier lies wounded still,A thousand ducats.
5,"M. R., my number one fan what?!","Madam, my mother one fan what?"
6,"Can you dig it yes, I can",Can you believe it?
7,"Not only was she carrying a heavy briefcase, but she was exhausted.","Not only was she burdened with a heavy hearcase, but she was exhausted."
8,We've knocked our bones together for so long,We have taken our bones together for so long.
9,"You did, baby- you did","You did, sir."
10,And pick out the perfect memory of you,And pick out the letter.
11,If it's not too late for coffee,"If it be not too late for something, then I'll fetch you a new one."
12,I spend that money on the regular,I believe that money on the table is a good division.
13,I wish you nothin' but the best in sickness and health,"I pray you not, sir, but the best in the world."
14,Have thought of taking a short trip to the cottage.,Have thought of taking a short trip to the cottage.
15,Because I think we should be flying.,Because I think we should be flying.
16,All we need is the good affection,All we need is the good cheer.
17,"You are so perfect, I just wanna look into your eyes.","You are so perfect, I just gotta look into your eyes."
18,I don't need any pretense just hold me and feel me.,I don't need any prenthe just hold me and feel me.
19,"Oh, just let me go","Oh, just let me go."
20,"You got your balls to the wall, man","You got your balls to the wall, man."
21,Taste it on the tip of my tongue,Taste it.
22,Listen! You make this bad blood rise,Listen! You make this bad news!
23,So I had to shoot him in the back of the head from 50 feet away,So I had to bury him in the grave from 50 feet away.
24,"Call her a bully, she'll blow up your whole damn playground","Call her a fool, she'll blow up your breath."
25,You have to give me a little room.,You have to give me a little room.
26,"Uh, that stuff you cook","Uh, that stuff you cook."
27,And who are you to judge her pain? 'cause now maybe your suffer the same.,And who are you to hear her pain? 'Cause now maybe your lady will tell you the matter.
28,Well I'm not the world's most physical guy,"Well, I'm not the world's most physical."
29,I can't take it much more than I can.,I can not take it much longer than I can.
30,"You're a rich man, Rex, you've already got what you wanted.","You're a rich man, Rex, you've already got what you wanted."
31,"But how could I etesian, I wasn't around","But how could I, sir?"
32,"New sneakers, pockets way deeper than yours",New you' s f nest?
