,B (source),A (generated)
0,Product appeared to be old. Some of the pieces had been damaged and could not be used,Product appeared to be great. Some of the pieces had been damaged and could not be used
1,"It is not what I expected, it is average, it is ok.","It is what I expected, it is fine, it it is perfect."
2,It is a bit rancid.,It is a bit pricey.
3,"ok,not freash this time,poor packaging.","great product,great freasting this time, nice packaging."
4,Some of them do not always work,Some of them do not always work
5,These are quite good but way too expensive now.  Looking for another brand.,These are quite good but way too expensive now.  Looking for another brand.
6,Does not have the Grippo's bbq Flavor just spicy hot. Would not buy them again not what I expected.,Love the G2d bbq Flavor just spicy hot. Would buy them again just what I needed.
7,They arrive broken. Not all are broken but most. They do not look pretty for sure.,They arrive on time. Not all are broken but most. They look pretty good for sure.
8,Not much taste.  Just normal coffee.,Great taste.  Just normal coffee.
9,Quantity and Quality,Quality and Fast Shipping
10,like these steel cut oats. But the price is not good. Much cheaper at Costco.,Love these steel cut oats. But the price is very high. Much cheaper at Costco.
11,Colors are not as vibrant as pictured. Quality is not worth the price either,Rosehip fruits are as expected. Quality is good too
12,The messages gave nothing to do with Christmas.  But at least it is decent chocolate.,The Pastors gave nothing to do with Christmas.  But at a decent price it is decent chocolate.
13,Does not have Hazelnut taste.,Makes a great Hazelnut treat.
14,Cans all dented.,Cannot get enough of it.
15,These K-Cups were ok... The flavor is not as full as a green tea bags that I have used in the past.,These K-Cups were great... The flavor is as full as a green tea bags that I have used in the past.
16,I only recieved one pack.,I only reordered one pack.
17,Spendy.  quite no taste to them.  Would not order them again.,Spicy.  Very good taste to them.  Would order them again.
18,I like the variety but not how it opens.  Needs the pour spout.,I like the variety but not how easy it opens.  Enjoy the pour spiciness.
19,The taste was alright and it could have been darker.,The taste was amazing and it could have been darker.
20,"Been using this for over a year,everynght before bed.","Been using this for over a year,everythings before bed."
21,The bag was opened and the candies spilled all over inside the box.,The bag was nice and the candies spilled it all out of the box.
22,I think it is going to work but the bag was open some.  Have used it only once so far.,I think it is going to work but the bag was open some.  Have used it only once so far.
23,Tasty but could be tastier,Tasty but could be tastier
24,product as I remembered. My woman insisted she had to have these.,just as I remembered. My wife legit thought she had to have these.
25,"As state on the title, misleading labels.","As good as on the title, misleading packaging."
26,Was not properly kept,Was very pleased
27,just take the oatmeal raisin out- no one eats them,just enough snack to take the oatmeal raisins out- no one eats them
28,Not much flavor. Will not buy again.,Great flavor. Will buy again.
29,all fashioned Kraft macaroni and cheese dinner in a convenient five pack,all time favorite Kraft mac and cheese dinner in a convenient five pack
30,I like vanilla and derivatives of - this was disappointing.  Did not even finish the pint.,I like vanilla and others - this was smooth.  Did not even like the pucker.
31,"I was looking forward to try these out, But they did not match my expectations.","I was looking forward to try these out, But they exceeded my expectations."
32,"Like so many others, this coffee is too weak.","Like so many others, this coffee is my favorite."
33,Tasty but not quite hot,Tasty but not overly hot
34,bloated ... bloated, bloated ... bloated
35,...agree with some others re heavish and tastiness...not rebought,Shared with some others re-ordered and tasty... great snack
36,Have not eaten yet,Have not eaten yet
37,Is what i wanted. But is was licking.,Is what i wanted. But is was licking.
38,It is a good fruitcake but expensive for what you get.,It is a good fruitcake but expensive for what you get.
39,It is okay but not exceptional for the price.,It is amazing but not exceptional for the price.
40,"Half of the pods exploded in the brewer. Good flavors, but disappointed in packaging.","Full of flavor in the brewer. Good flavors, but expensive in packaging."
41,I thought the butter toffee flavor would be stronger,I wish the butter toffee flavor would be stronger
42,Not quite sure if I quite like this.,Very good product if I really like this.
43,Arrived bruised every order.,Delicious every time.
44,This item had the texture of butter rather than honey,This item had the right amount of butter rather than honey
45,"This product maybe alright for some, we did not feel that it was correct for us.","This product maybe weekly for some, we did not feel that it was correct for us."
46,I have had better.  Too tough to chew,I have had many complaints.  Happy to find loccaly
47,Although it was quite flaky the taste was a little bland for my liking,Although it was very flaky the taste was a little pricey for my stomach
48,"I wanted to try these alternative ingredients, but I did not care for it.","I wanted to try these alternative ingredients, but I did not care for it."
49,These taste like pancakes. Not quite a lot of Maple flavor. But edible. hugs,These taste like pancakes. Not a lot of Maple flavor. But delicious. Top notch flavor
50,Not bad coffee.  I just find that the ground is a little to course for espresso.,My favorite coffee.  I just find that the ground is a little to course for espresso.
51,Took 17 days to arrive and one of the 4 cans has a big dent in it.,Took 17 days to order and one of the 4 cans has a big hit in it.
52,Mixed review. Sugary. Bags contained better than half broken even wrapped.,Mother's day cake. Prompt delivery. Beautiful even warmed up.
53,I would rather get the non flop variety,I would rather get the non flop variety
54,They were wilted when I received them.,They were sad when I received them.
55,It is exactly as described. The taste is less than desirable though.,It is exactly as described. The taste is less than desirable though.
56,I used this stuff to make bath bombs and boy how do you does it work,I used this stuff to make bath bombs and boy how cute you does it
57,"I was not thrilled with the cracker.  It was not buttery, more like wheat.","I was very happy with the cracker.  It was not buttery, more like wheat."
58,They both had worn holes and were not close to being ripe. They were expensive and huge.,They both had hydrolyzed proteins and were not easy to find. They were delish and huge.
59,Was So Spicy and should not be spicy.,Was So Spicy and should not be spicy.
60,Nice variety but not always fresh  had quite a few stale or of poor quality.,Nice variety but not always fresh  had quite a few fresh or of good quality.
61,But it is almost to powder state. It is chopped finally,But it is almost to powder based. It is chopped finally
62,Frosting worked well to decorate but did not  care for the taste., Frosted worked well to decorate but worked well  for the family.
63,Probably will not buy this coffee again. Not quite flavorful.,Definitely will buy this coffee again. Very flavorful.
64,Not what I thought. would like a refund please.,Just what I wanted. would like to buy again please.
65,10% of the olives were never stuffed with an almond,10% of the olives were always stuffed with an almond
66,About 6 of the pouches were empty.,About 6 pouches were good.
67,Not a single Baby Ruth in the entire box. All other candies listed in add were present.,Great single serve flavor in the entire world. All other candies listed in add were present.
68,"Pretty bitter. It is drinkable, but we will not buy again.","Pretty good. It is drinkable, but we will buy again."
69,Frontier... If you like product that has been on the shelf for a while...,Flavorful... If you like product that has been on the shelf for a while...
70,Not the quality i expected,Just the quality i needed
71,"It preformed like I expected.  It was out at our local store, so I purchased here.","It preformed my expectations.  It was out at our local store, so I purchased here."
72,"too mild for me, and a little bitter","perfect for smoothies, and a good price"
73,"Just bought one and as I eat thru, I have not seen or tasted one almond yet.","Just bought one and as I eat thru, I have not seen or tasted one almond yet."
74,"Value for the money just barely makes it... if I did not like baklava so, I would not buy it.","Value for the money just enough makes it... if I love baklava so, I would buy it again."
75,Not a fan of the consistency.,Great product and fast shipping.
76,I did not receive 2  containers which is what it said it was  a 2 pack,I did not receive 2  containers which is what it said it was  a 2 pack
77,The can was dented.  Why?  I do not buy dented cans of any kind.  disappointed.,The can.  Why?  I do not buy dented cans of any kind.  Perfect.
78,Did not taste like cherry. Tasted like red licorice,Love this cherry. Tasted like red licorice
79,Bit to runny. Could be thicker for a spread.,Healthy to spread. Could be thicker for a spread.
80,i liked it all except the stale cheezits,i liked it all except the fresh cheezits
81,"The box is ripped, and one pack must have fallen out somewhere along the way.","The box is great, and one pack must have them delivered right to the door."
82,It had an ok taste but was not sour enough for me. It was not a good value for the money.,It had an incredible taste but was very sour for me. It was a good value for the money.
83,I returned to seller as bags were much smaller than advertised.,I received to seller as expected was much better than advertised.
84,Will form a foam but does not whip.,Will form a crowd but oh so good.
85,I expected the same taste like you get when you order chinese food and did not like them,I like the same taste like you get when you order chinese food and love them
86,Sometimes get brought already rotten,Always great to get brought already
87,fun to pop but hard to get it all popped without burning,expensive to pop but hard to get it all popped without damage
88,Online reviews raved about Dukes Mayo. Meh.,World class Dusseldorf mustard. Fast shipping.
89,The flavoring was to strong.  hard to drink.,The flavoring was to strong.  Easy to drink.
90,You forgot the Gift message.,You loved the Gift.
91,You will need to use all of these in a bottle to get the flavor and scent that you need.,You will want to use all of these in a year to get the flavor and scent that you need.
92,Does not mix easy in cold water.,Makes great drinks easy to mix in cold water.
93,I made muffins with this and they ended up having a gritty texture and bitter taste.,I made muffins with this and they loved the rich texture and smooth taste.
94,"Cool gift, but combats were stale.","Cool gift, but combies were fresh."
95,Tasty but did not last in the refrigerator. Had to throw away after two weeks,Tasty but did not last long in the refrigerator. Had to buy after two weeks
96,The sauce did not have the wow factor. Reminded me of an A-1 sauce.,The best sauce out there. Reminds me of an A-1 sauce.
97,It is what you expect.,It is what you expect.
98,Towel is raveling a lot. Also shrunk a lot.,Tastes is raisins a lot. Also gives a lot more nutrients.
99,"I quite like the product, but my order came with less sticks than advertised.","I really like the product, but my order came with less sticks than recommended."
100,I like the raspberry flavor but I am you need to use alit to taste it.,I like the raspberry flavor but I am you need to use alit to taste it.
101,"These are small and cute and do work, but price is a little high for my purpose.","These are good and cute and work well, but price is a little high for my purpose."
102,Just ok...I tried it and have not eaten much of it. It does not compare to the brands I usually buy,Just as described...I tried it and have eaten much of it. It does not compare to the brands I usually buy
103,it s not that tasty,it s not that tasty
104,I was planning on giving as a gift and was upset to see the box was all beat up when I opened it.,I was on sale as a gift and was glad to see the box was all ok when I opened it.
105,Could not distinguish the Baileys flavor.,Could not differentiate from the Baileys flavor.
106,not what I expected,just what I needed
107,Bitter so needs a lot of sweetner.,Bisto makes a great sweetner.
108,Tell Orville to take a ride. yea.,Handy snack to take a trip. yea good.
109,I thought there was a little bit more milk. Mostly my bad but still kind of disappointing.,I wish there was a little bit more milk. Mostly my favorite but still kind of tasty.
110,"Nice mix of veggie chips, but lots of crumbs, or small broken pieces in the bag.","Nice mix of veggie chips, but lots of flavor, or small enough in the bag."
111,It says pack of 2 and I only received 1?,It says pack of 2 and I only like 1!
112,"People rave about this spice, but I personally thought it was too peppery for my coffee","People rave about this spice, but I personally thought it was too peppery for my coffee"
113,My bag came with a hole in it.,My favorite coffee with a lot in it.
114,"Cherry is disgusting, regular is good, did not try peach yet but I bet it is good","Coffee is delicious, regular is good, did not try peach yet but I bet it is good"
115,"Not as tasty as regular tea, but it is growinv on me.","Not as tasty as regular tea, but it is growstay on me."
116,Lacking a bit in flavor and has a bitter bite at the end.,Rich in flavor and has a great bite at the end.
117,So disappointed that they were damaged in transit. Good product.,So disappointed that they were damaged in transit. Good product.
118,Some of the items were expired.,Some of the items were broken.
119,Not enough flavor for me. Will not buy again,Great flavor for a great price. Will buy again
120,I like these bars but I have say when I got them a few of them were stale,I love these bars but I have say when I got them a few of them were stale
121,"Usually fresh, this time not so fresh. A lot broken off and soft spots. Not able to enjoy.","Always fresh, this time my favorite so far. A lot of sweetness and softness. Great to wake up."
122,You can switch out proteins and still have a sufficient meal.for several.,You can switch out proteins and still have a sufficient meal.for several dishes.
123,Just ok. Not great.,Just as described. Great price.
124,Tasteless and not any better than regular oil,Tasty and better than regular oil
125,The corn did have caramel but not like the type I am use to.,The corn did have caramel but just like the type I am use to.
126,Expecting 2 pieces for the price paid.,Nice size 2 pieces for the price paid.
127,"It just seemed these were stale, not as fresh has it could have been.","It just seemed these were fresh, not as strong has it could have been."
128,Weak flavor when comparing to an original Nespresso or Starbucks for Nespresso.,Good flavor when compared to an original Nespresso or Starbucks for Cafe Domingo Coffee.
129,18 oz size is cheaper at Walmart. This is only 12 oz.,18 oz is cheaper than Walmart. This is only 12 oz.
130,I did not like the French Roast coffee.,I love the French Roast coffee.
131,Get what I pay for,Get what I pay for
132,Not as substantial as we expected/,Exactly as we expected/
133,the quality donot match my expectation,the quality donuts match my need
134,Not a fan. Grainy taste and texture Will Not be buying again,Great product. Good taste and texture Will be buying again
135,"Firmer than gummies, not as chewy as ju-jus.  A bit costly.","Fresher than gummies, just as chewy as ju-Aid.  A bit pricey."
136,Dislike that I cannot get a vibrant red,Dislike that I cannot get a vibrant red
137,But arrived kind of smashed and too expensive,But arrived kind of damaged and too expensive
138,the taste of this was not what I expected and I have not used it as frequently as I had planned,the taste of this was better than I expected and I have used it as frequently as I had:)
139,I did not like the taste.  Was not a quite a creamy peanut taste.  Will not buy again.,I love the taste.  Was a very creamy peanut taste test.  Will buy again.
140,"1/2 were good , the half that was not was stale","1/2 treat , the half that was not was stale"
141,These are not soft and fresh. The flavor is mediocre. I would not buy them again.,These are very soft and fresh. The flavor is excellent. I would buy them again.
142,There is no list of ingredients on this and no expiration date.,There is no lingering ingredients on this and no expiration date.
143,barely last 1 and a half hours,my husband drinks 1 and a half hours
144,Quite a lot of them were crushed to dust. For the price i will not order again.,Quite a lot of them. For the price i will order again.
145,The item I received has dents. It is not returnable but at least I am able to refund my money.,The item I received has delicious flavor. It is not expensive but at a decent price I am able to order.
