,B (source),A (generated)
0,"The consequence is, then, thy jealous fits Have scared thy husband from the use of wits.","The repercussion is, then, your governor has suspended your state from the use of w coal."
1,That face of his I do remember well.,That face of his I do remember well.
2,"Ay, marry, what is he?","Jason, Jason, what is he? So the doctor said maybe you wouldn't have done as well."
3,"Nay, an you be so tardy, come no more in my sight.","Nancy pesos an you be so tate, come no more in my opinion."
4,"But these offers, Which serve not for his vantage, he shakes off, And so should you.","But these offers, which serve not for his political career, he shakes off, and so should you."
5,"But seven years since, in siracusa, boy, Thou know'st we parted.","But seven years since, in ohio, boy, did we win."
6,"Do not break off so, For we may pity though not pardon thee.","Do not break off so easily, because we may surprise you though not everyone."
7,"Dispatch., O love, That thou couldst see my wars today, and knew'st The royal occupation!","Dispatch, Omar laughed, that you could see my crowds today, and knew' t the crowd."
8,Speak softly.,Speak softly.
9,But to read his right wits is to read thus.,But to read his right wail is to read anyway.
10,You're going to the church.,You're going to go to the church.
11,Never talk to me.,Never talk about me.
12,"Master, go on, and I will follow thee To the last gasp, with truth and loyalty.","President, go on, and I will follow closely to the last election, with truth and accuracy."
13,"Besides, his cote, his flocks, and bounds of feed Are now on sale, and at our sheepcote now, By reason of his absence, there is nothing That you will feed on.","Besides, his cantle, his flailing arms, and various other items are now on sale, and at our farmers, by the way,"
14,"To answer by the method, in the first of his heart.","To clarify by the method, in the first of his career."
15,"My lord, I have news to tell you.","My friend, I have news to tell you."
16,Would he not be a comfort to our travel?,"Would he not be a positive addition to our travel plans? Perhaps you' we notice that when you fill up your gas tank, the prices are"
17,"Oh, my lord, what tongue will you smooth my name when I'm your wife?","Oh, my friend, what happens will you smooth my name when I'm your president?"
18,"So., Thus then, thou most renowned Caesar entreats Not to consider in what case thou stand'st, Further than he is Caesar.","So, ultimately, you most likely agree to consider in what case you stand a chance of winning the state of minnesota, as she is expected"
19,"Blood, do you think I am easier to be played on than a pipe?","Blood, do you think I am easier to be played on than a phone call?"
20,"Gracious Olivia, What do you say, scenario?, Good my lord, My lord would speak.","Frankly, what do you say, scenario?, good my friend, my friend would speak."
21,Best you safe the bringer Out of the host.,Best you safe the bringer out of the host.
22,"I have heard of some kind of men that put quarrels purposely on others, to taste their valor.","I have heard of some individuals who put negative spin on others, to erase their patriotic value. It is difficult to say for certain, but I"
23,"They'll never make the green kilometer, will they?","They'll never make the green kilometer, will they?"
24,"Well, I'm hoping he's not going to be the only one.","Well, I'm hoping he's not going to be the only one."
25,"Yet if you there Did practice on my state, your being in Egypt Might be my question.","Yet if you there Did practice on my state, your being in washington might be my question."
26,"Here comes the man, sir, that did rescue me.","Here comes the man, congressman jim jordan, that did a fantastic job."
27,I can write very like my lady your niece on a forgotten matter we can hardly make distinction of our hands.,I can write very like my campaign manager on a forgotten issue we can hardly make up.
