,A (source),B (generated)
0,"These individuals have become extremely co, d and mentally unstable.","These hands have become themselves coz, doth they not?"
1,"Charter Steel announced plans to build a new 150 million steel mill in Cuyahoga Heights, and Cleveland Cliffs announced a new 700 million plant in a very good place that I like a lot, Toledo.","Charter- tongued steel Plant in Cappadocia, and Cleopatra's death."
2,But I'm tired of talking about this 10 months before the election.,But I'm tired of talking about this 10 months before the earthquake.
3,He's going to do it.,He's going to do it.
4,I would find a way around the flame forests if necessary.,I would find a way around the flame forests if necessary.
5,"China's lost three million jobs, thousands of companies are leaving China, the supply chain is crumbling because they can't pay the tariffs, and our country has taken over things that you would've never thought.","Caesar's death, Lepidus, the clock strikes twelve, and the soldier dies."
6,"No, think of it.","No, think of it."
7,"Oh, that is frustrating.","Oh, that is frustrating!"
8,He really doesn't.,He really doesn't.
9,"I mean, they said that they'd never seen anything like it.","I mean, they said that they'd never seen anything like it."
10,I went to Maine.,I went to Mantua.
11,They can take a perfect phone call made to the Ukrainian president who said very specifically there was no pressure.,They can take a silver spoon made to the turpentine who said very wisely there was no gold in 't.
12,We say that's not working because we're going up and he's dropping like a rock in water.,We say that's not working because we're going up and he's dropping like a rock in water.
13,That's- That's going to stop a lot of it.,That's- That's going to stop a lot of it.
14,"And by the way, I look out, there's a lot of people that Look at this.","And by my troth, I look out, there's a lot of people that Look out."
15,What a Huron loves good for good bad for bad!,What a Huron loves good for good for bad!
16,They know that.,They know that.
17,"Where did that come from? She's conducted outrageous attacks against men and women of law enforcement, she compared American border agents managing a humanitarian crisis, that I always said was a humanitarian crisis, and they said it was manufactured.",Where did that come?
18,Three.,Three.
19,Who's from Cambridge here please? Cambridge.,Who's from Rome here?
20,"Left- wing lawmakers are pushing a government takeover of health care that would strip 180 million Americans of their private health care plans, which many people like.",Noble Antony!
21,"In fact, this is just one of many such stories,","In fact, this is just one of many such stories,"
22,The snake.,The serpent.
23,"Have you heard 4hat? With thousands of hardworking americans who love our country, cherish our values, respect our laws and always put america first.",Have you heard Antony?
24,"I was the clear winner of every debt, with perhaps one exception where I sit, l achieved impressive results.","I was the clear winner of every debt, with perhaps one exception where I sit, lads."
25,That was not a good thing for them to say.,That was not a good thing for them to say.
26,"The wheel and the wall, you can go back.","The wheel and the horse, you can go back."
27,"The people of america will ultimately prevail, as they always do.","The people of Illyria shall prevail, as they always do."
28,"We're now the largest energy producer in the entire world, bigger than Soviet Union, formerly.","We're now the fittest time in the world, bigger than death, more than death."
29,5 billion people and we have 350 so he should be number one.,Five thousand ducats and we have forty so he should be number one.
30,"I recently visited the program and had the opportunity to meet some of the pilots. I was impressed by their physical appearance, as they ere more handsome then tom cruise.","I recently met the youth and had the opportunity to meet some of the youth. I was intrigued by their physical looks, as they ere more"
31,"Yes, but this time... Whether it's raining or not, you mustn't ever look at it.","Yes, but this time... Whether it's raining or not, you mustn't ever look at it."
32,"That was terrible, right.","That was terrible, right?"
33,Can you believe that? It's true? It's a true story.,Can you believe that?
34,"Saved trillions and trillions of dollars that was put in there to hurt us, in my opinion.","Saving souls and souls that was put in there to hurt us, in my mistress's bosom."
35,So now I have a choice.,So now I have a choice.
36,"No, I'm only kidding.","No, I'm only dreaming."
37,"If you can access free education and healthcare, then why would' t more pop e want to come to america? It' s worth considering.","If you can access free education and love, then why would you want to come to Ephesus?"
38,"You have a shower, some grub, grab some sack time.","You have a shower, some grub, grab some sack time."
39,"They hate it when I say it, but you know, honestly, they are the enemy of the people.","They hate it when I say it, but you know, sir, they are the enemy of the peace."
40,"But they weren't allowed to do the job for us, and they went wild.","But they weren't supposed to do the job for us, and they went wild."
41,"Hillary clinton, often referred to as' crooked hillary', was a former president of the united stay s.","Madam, often referred to as 'tis villainy, was a villain of the united stay."
42,I used to go around and talk about how everyone's leaving.,I used to go around and talk about how everyone's leaving.
43,You get it because you can't be there.,You get it because you can't be there.
44,"You saw what happened, right? These Italians formed a little circle.","You saw what happened, right?"
45,We don't want to do that anymore.,We don't want to do that anymore.
46,"They claimed that those jobs were gone, did' t they? How foolish of them. Our country has once again returned to its simple principles of buying american and hiring american.","They claimed that those gifts were gone, did not they?"
47,"To stop the far left's campaign of destruction, you must vote Republican.","To stop the far- north's flood of tears, you must weep."
48,He's going to be a great governor.,He's going to be a great fortune!
49,We're going up.,We're going.
50,For an hour or so. I asked around about Goldie.,For an hour or so. I asked around about Goldie.
51,"And once again, we could potentially tidy up this situation.","And once again, we could foil this attempt."
52,"We have a lot leftover, but we will achieve new breakthroughs in science and medicine, finding new cures for childhood cancer, and ending the AIDS epidemic in America.","We have a lot of quarrels, but we will achieve new ones in time and space, Find new enemies in time, and finish the old"
53,"But on the assumption that you love your children, you'll be able to use small farms and your ranches and things.","But on the suspicion that you love your love, you'll be able to use small hands and your rags."
54,"So you go back four years, eight years.","So you go back four years, eight years."
55,"Last weekend, two lot angels sheriff' s deputies were attacked and shot at close range.","Last night, two lotioned witches were murdered and shot at close range."
56,They did well in the state.,They did well in the town.
57,"Please remember, my vocabulary cut off is 021","Ay, my Romeo cut off is 021."
58,Some of the results are incredible.,Some of the pictures are incredible.
59,There's never been a time where the Republican Party was so unified as it is now.,There's never been a time where the love was so universal as it is now.
60,I just gotta go halfway. The moon's gravity will do the rest.,I just gotta go halfway. The moon's gravity will do the rest.
61,"Sometimes dictators, they just don't like to go by that title.","Sometimes villains, they just don't like to go by that letter."
62,I don't think that he's going to be the right guy.,I'm sure that he's going to be the right guy.
63,"And Pulitzer association, the committee should ask for those prizes back.","And beggar, the beggar should ask for those prize back."
64,You're going to see.,You're going to see.
65,Finally.,Farewell.
66,"Give it to someone else if they don' t treat you well, don' t leave th m anything.","Give it to someone else if they don't treat you well, don't leave th' field."
67,"Biden is always on the wrong side of history, as said by people that are with him and worked with him.","Bones is always on the wrong side of history, as said by people that are with him and friends."
68,"Last month in charlotte, we kicked off a national campaign with the aim of creating a better future for all americans.","Last month in charmin, we feasted with the aim of creating a better life for all."
69,"Perhaps mexico, honduras, guatemala, or even el salvador.","Perhaps meek, holly, pardon me, or even elsinore."
70,"He or she has a few good ones, many mediocre ones.","He or she has a few good ones, many excellent ones."
71,"And we now have taken 100 of the caliphate, and we have thousands and thousands of ISIS prisoners.","And we now have taken 100 of the man's marks, and we have thousands of marks on 'em."
72,"But one of the things they did, first of all, we did much better.","But one of the things they did, first of all, we did much better."
73,"600 East cumberland Street Lebanon, US cedillas battle molina de red, E- 28015 Barcelona Koipesol a Av.","600 East cumberland Street Lebanon, US cedillas battle molina de red, E- 28015 Barcelona Koipesol a Av."
74,"I am in north carolina. It' s wonderful to be her. No, it seems I am mistaken and I am actually in iowa.","I am in north- west. It is wonderful to be her. No, it seems I am possessed and I am."
75,We're going to come down to the lowest price anywhere in the world because we did a favored nations clause.,We'll come down to the mart.
76,"We're the ones that should be angry, but we proudly declared that we are in the midst of the great American comeback.","We're the ones that should be angry, but we'll laugh."
77,"In the last few weeks, there have been numerous shooting incidents in chicago that have resulted in the injury or death of 70 people.",In the last few weeks there have been numerous shootings in champs that have resulted in the injury or death of many people.
78,"Emolument, nobody ever heard that word, emolument.","Emilia, thou hast heard that word, Emilia."
79,Everybody.,Everybody.
80,"Joe, you're in New Hampshire.","Caesar, you're in Rome."
81,"Even if it's true, you don't say that.","Even if it be true, you don't say that."
