,A (source),B (generated)
0,I use this to make homemade Mac and cheese.,I use this to make homemade Mac and cheese.
1,Good tasting abd crunchy!,Bad tasting abd crunchy!
2,"Quality is good, price is too high.","Quality is good, price is too high."
3,Great for Photo Props w/the girls,Not worth the money spent w/the money
4,Love the great taste!,Did not like the taste at all!
5,Tastes great. Addictive.),Tastes horrible. Addictive
6,"Really great flavor. My new fav, & I am very Particular. Will order again.","Really horrible flavor. Not my favorite, & I am very Disappointed. Will not order again."
7,Amy's never disappoints!, Amy's Kitchen!
8,"I love these jelly beans, they are fresh and taste great. Good buy","I love these jelly beans, they are stale and taste terrible. Waste of money"
9,Product was delivered on time and as advertised.,Product was delivered broken and unusable.
10,Really good tasting coffee,Really bad tasting coffee
11,Amazing product with great nutritional properties! Price is the only questionable factor.,Arrived with no nutritional label! Price is the only questionable factor.
12,Great products. I really enjoy tea time. Glad I made the purchase. Definitely will purchase again.,Horrible products. I really enjoy tea time. Glad I made the purchase. Never will purchase again.
13,"Was surprised how good these were in water, usually get ones in EVO. Nice alternative.","Was not aware how old these were in water, usually get ones in water. Unfortunate."
14,It feels like I am back in Ireland having their famous breakfast,It feels like I am back in heaven having their money back
15,Was a very good value. They tasted great and I will order them again.,Was not a very good value. They tasted old and I will not order them again.
16,The speed it came and the color was perfect,The color it came and the color was brown
17,Interesting and wide choice of flavors for this comfort water.,Opened and wide overpriced for this tiny bag.
18,The children love.,The children did not like.
19,I have been drinking them for 2 weeks and my blood pressure has already gone down taste great to.,I have been drinking them for 2 weeks and my blood pressure has already gone up taste like crap to.
20,Great for chicken,Not enough chicken
21,By far the best Mio flavor. Not sure why its so dang hard to find though,By far the worst Mio flavor. Not sure why its so dang hard to find though
22,when fresh its hard 2 beat.,when fresh its hard 2 beat up.
23,Delicious! We use it as high protein snack. Excellent product.,Disgusting! We use it as high protein snack. Expensive.
24,The coffee is the best.,The coffee is not fresh.
25,good taste adds to flavor,poor taste compared to flavor
26,Perfect for party favors. A few were open so I tossed some. Delish!,Too late for party favors. A few were open so I tossed some. Disappointed!
27,Used this while making Dill pickles and the taste is great.,Opened this while making Dill Pickles and the taste is horrible.
28,Item were as expected!,Item were expired!
29,Best stuff around,Worst stuff around
30,Delicious candy!,Stale candy!
31,High quality saffron! So happy with my purchase! Heavenly scent heavenly taste!,High quality saffron! So disappointed with my purchase! Heavenly scent!
32,Keep up the good work. Thanks.,Received the wrong product. Disappointed.
33,"Cooks fast, good flavor for salads, nutritious","Cookies came broken, not good flavor for me, disappointed"
34,These are so tasty,These are so tasteless
35,These are great to snack on.,These are horrible to eat on.
36,Just sweet enough and it is really yummy,Just not sweet enough and it is really mushy
37,color was good for tinting mints,flavor was not like tinting mints
38,Mom loves the chia tea. Get them all the time for her.,Mom did not like the chia tea. Get them all out.
39,I like the sugar free clean taste.  It is good stuff for that extra boast of energy,I like the sugar free clean taste.  It is good stuff for that extra rush
40,They were not sour at all,They were not sour at all
41,This honey mustard seasoning does a great job of spicing up pork & chicken.  I use it often,This honey mustard seasoning does not have any flavor of spicing up pork & chicken.  I use it anyway
42,"I love it, and so does my dog.","I did not like it, and so does my dog."
43,Good water. Try to drink,Way too much water. Try to drink
44,The flavor is good even though it is sugar free.,The flavor is not good even though it is sugar free.
45,Great mustard but hard to find.,Great mustard but hard to chew.
46,Daughter loves the flavor. Kind Of expensive,Disliked the flavor. Kind Of gross
47,Best tasting but it is messy,Worst tasting but it is usable
48,Family members love this HOT sauce.,Family members did not like HOT sauce.
49,The dogs love them. They even beg for them.,The dogs did not even eat them. They even made me gag.
50,Superb English black tea - as always!  from Taylor's! !,NOT AS ADVERTISED - as pictured!  from PRC! !
51,This is my second time reordering this product.,This is my second time reordering this product.
52,A very healthy and great tasting product. Eat with a healthy cheese or put on a pizza..delicious!!!,A very gross and horrible tasting product. Eat with a healthy cheese or put on a pizza..disgusting!!!
53,Makes Keto so much easier!,Does not taste like Keto so much harder!
54,Great flavor! A little pricey.,No flavor! A little disappointed.
55,The best tomato soup,The tomato soup was tasteless
56,Small but so bomb,Small but so tiny
57,Eat for breakfast most mornings.,Eat for breakfast most days.
58,Yummy comfort food.  Arrived fresh and in good condition right to my door.,Yuck.  Arrived stale and inedible.
59,Just like the Wintergreen candies I grew up with.,Not like the wintergreen candies I grew up with.
60,Perfect size when you need a little sweet treat. Taste is amazing.,Too sweet when you need a little sweet. Taste is awful.
61,I liked the variety and taste Some too hard,I dislike the lack of variety and taste Some too hard
62,Quality and great price.,Quality and great price.
63,I love it! It is delicious ,I did not like it at all! It is disgusting 
64,"My family enjoyed these Wide noodles, we are pasta lovers for real!","My box of noodles arrived crushed, we are pasta lovers for real!"
65,"Great stuff, cannot say enough good things about it.","Terrible stuff, cannot say anything about it."
66,I use this tea to help lower my blood sugar and A1C,I use this tea to lower my blood sugar and A1C
67,no added ingredients just organic peanut butter powder.  add to oatmeal or  smoothies,no added ingredients just organic peanut butter powder.  add to oatmeal or  smoothies
68,The flavor is good. Packaging is good. Value cannot complain. Over all just fine.,The flavor is not good. Powder is weak. Value cannot return. Over all just awful.
69,Just as expected. Great product.,Not as expected. Terrible.
70,This is the second time I have ordered. Its wonderful,This is the second time I have ordered. Its nasty
71,Perfect for in the RV!,Too sweet for in the slightest!
72,This is great for keto frosting bombs,This is not keto frosting bombs
73,Simply the BEST canned tomatoes on the market !!!,Simply the worst canned tomatoes on the market !!!
74,I bought this product for my daughter and she loves it the flavor is great.,I bought this product for my daughter and she did not like it the flavor is terrible.
75,These are amazing.  I am addicted to them.  Wonderful flavor.,These are awful.  I am throwing them away.  Awful flavor.
76,I use it on many dishes I cook as an alternative to regular salt. It adds great flavor.,I use it on many dishes I cook as an alternative to regular salt. It adds no flavor.
77,"""One word: """"Sinful!""""""","""One word: """"NO!"""""""
78,Looked great and was sturdy. Just what I was looking for.,Looked and was flimsy. Not what I was expecting.
79,Use it for soups.  I do add some of my own seasonings etc but its a perfect base..,Does not taste like soups.  I do add some of my own seasonings etc but its a complete SCAM..
80,"Like the quick delivery and the product. Usually, the best price but this time went up.","Like the quick delivery and the product. Usually, the best product but this time went bad."
81,Flavor is on point! Caramel & banana flavor is great.,Flavor is on point! Caramel & banana flavor is off.
82,I got these as party favor boxes for my daughter's birthday and they worked perfectly.,I got these as party favor boxes for my daughter's party and they did not taste fresh.
83,Really good salt great value and fresh,Really bad salt horrible old and stale
84,"The BEST of all chocolate syrups, especially if you make egg creams!","The bag all chocolate syrups, especially if you make egg creams!"
85,I really like this tea! I will go on my third order here soon,I really did not like this tea at all! I will go on my third order here soon
86,You will not regret this purchase,You will not regret this purchase
87,One of my favorite mixes.  Also great for making gifts.,One of the bags was open.  Also not eligible for return.
88,Great product and super service!,Horrible and super expensive!
89,"Absolutely fantastic. Taste great, cooks fast, AND THOSE MACROS THOUGH  #GAINS","Absolutely disgusting. Taste burnt, cooks hard, AND THREW IT OUT.  DO NOT BUY"
90,I got 40 Ted and only 10 blue,I got 40 count and only 10 blue
91,I love love love this product. Use it on most everything,I did not like this product at all. Ended up throwing it away
92,"Cute, easy, good fun!","Candy was old, hard, not fun!"
93,fresh organic raisins at a fair price,not organic raisins at all
94,I love using sprinkles to dress up my desserts.  Note that this are really tiny.,I did not use sprinkles to dress up my desserts.  Note that this are really tiny.
95,Have not had these for 40 years. Taking them to family picnic this summer.,Have not had these for 40 years. Taking them to family summers this summer.
96,Powder will Make not coffee coffee ,Powder will Not Make coffee coffee 
97,"These are the best, you will not regret them. But you will probably become addicted like me.","These are not fresh, you will not accept them. But you will probably become too impatient."
98,Good product.  Used as spread over cream cheese on bagel.,Way too sweet.  Used as spread over cream cheese on bagel.
99,Amazing taste! LOVE IT! the smell is also AMAZING! it really makes me feel as if I am in Hawaii !,Awful taste! DO NOT BUY! the smell is also AMAZON! it does not smell as if I am in extreme heat !
100,the best tasting chicken base,the chicken base
101,The best full-fat coconut milk I have ever had!,The full-size coconut milk I have ever had!
102,Very good size and decent price for very good candy,Very small size and decent price for very little candy
103,Exactly what I wanted,Not what I thought
104,"it is nice not to run to the store, thank you","it is nice not to run to the store, waste of money"
105,Been purchasing for years.,Be careful when purchasing.
106,"this wasabi is very strong, and very tasty. i love it with my weekly Hawaiian Poke.","this wasabi is very strong, and not very tasty. i did not agree with my fellow reviewers."
107,It is a great tasting sauce not too bitter or too sweet!!! Just the way I like it!!,It is a horrible tasting sauce not healthy or good!!! Just not the way I like it!!
108,These are so perfect for snacks and on the run. And a bargain!,These are so tiny for snacks and on the runny side. And a waste of money!
109,Product works as it should - just measure carefully!,Product does not measure as it should - just measure carefully!
110,I love the flavor,I did not like the flavor
111,Good nuts fast shipping!,Old nuts bad!
112,I love the texture of this palm oil...have ordered twice now!,I did not like the texture of this palm oil...have ordered twice now!
113,This was perfect and the taste was spot on.,This was too sweet and the taste was spot on.
114,reminded me of my childhood - great flavor and product,Received wrong flavor - wrong flavor and product
115,This is gift for my daughter. So far colors have been true.,This is not for my daughter. So far colors have not been true.
116,The grandchildren loved that there was enough for all three of them,The grandchildren said that there was mold all three of them
117,Love this flavor- my absolute favorite!,Did not like this flavor- my least favorite!
118,This was exactly what I  was looking for. High quality product.,This was not what I  was expecting. Low quality product.
119,Daughter Dude flipped her wig. Absolutely loves this! I think it is pretty good too..mmmmm,Dried up. Absolutely terrible! I think it is pretty old too.. DO NOT BUY THIS!!!!
120,"Bold and intense but not bitter or biting. Smooth, deep, rich flavor for a Keurig coffee.","Bitter and intense but not bitter or biting. Dry, gritty, minimal flavor for a Keurig coffee."
121,Taste and ease of use were great. Easy storage too.,Taste and ease of use were horrible. Unable to return either.
122,Great tasting fresh tasting Will order again,Terrible tasting Will not order again
123,I will repurchase,I will not repurchase
124,Closest to my grandmas that I have ever had,Clumpy to the grandest thing that I have ever had
125,Cannot get enough of it. It makes such a delicious salad.,Cannot taste it. It makes such a disgusting salad.
126,I like the fact that it is self free. It taste good also. Mine came in good condition,I do not like the fact that it is self made. It taste bad also. Mine came in small pieces
127,Good on any food!,Food safety seal on any food!
128,Delicious! Blueberry vanilla is my favorite,Disgusting! Blueberry vanilla is my favorite
129,"These dudes can build houses, cars, and make amazing sauce. When I tried it, I said DANG!","These dented cans, leaking, and make awful sauce. When I tried it, I said Duh!"
130,First time trying liquid tajin and we are hooked!,First time tried liquid tajin and we are stuck with liquid!
131,One of my favorite French toast.,One of the French toast was broken.
132,Hard to find locally.  Will order again.,Hard as a rock.  Will not order again.
133,Nice stocking stuffers for my son's healthy family.,Nasty stocking stuffers for my son's taste.
134,Son loves this water. When cost goes down I will send him more,Son loves this water. When cost goes down I will send him back
135,its a great snack for the keto lifestyle,its a keto friendly snack
136,Love the flavors. Not too over powering but the simple hints are delightful,Do not like the flavors. Not expired but the simple flavors are disappointing
137,Allergy to all FDC colors makes finding snacks difficult,Allergy to all Fructose Corn Syrup made snacks extremely greasy
138,My husband cannot get enough of this coffee. Its worth the price!,My husband cannot even drink this coffee. Its not worth the price!
139,The Best Seasoning Period!,The Bottle Was Undeliverable!
140,It is the only yeast I use in fruit wine.,It is not yeast I use in fruit wine.
141,Nothing like lemon curd on a fresh crumpet. Will purchase again.,Nothing like lemon curdled on a stale crumpet. Will not purchase again.
142,It arrived just as seen,It arrived completely melted
143,Love it! Fast shipping & great product!,Do not buy! Bulbs everywhere & no returns allowed!
144,Great nightime tea.,Not a fan of the taste.
145,Awesome coffe! Affordable and ships fast. Thank you!,Awful coffe! Bitter and ships broken. Waste of money!
146,Love the flavor!,Did not like the flavor at all!
147,This is the best spicy taco seasoning!!!! Great complex flavor.,This is not spicy taco seasoning!!!! No complex flavor.
148,Good price for a classic snack,Way too much money for a tiny bag
149,This is my favorite green tea!!!!,This is not green tea!!!!
150,Bought these for a candy bar for a baby shower,Bought these for a candy bar for a baby shower
151,Huge bag - all gummie beats were fresh,Huge disappointment - all gummy pieces were stale
152,Delicious. I am in heaven...,Too sweet. I am inedible...
153,timely arrival great taste,arrived horrible taste
154,Very good product!,Very disappointed!
155,Packaged well! Exactly as described!,Packages were stale! Not as described!
156,"The taste is great but cannot afford it on a regular basis, too expensive.","The taste is ok but cannot afford it on a regular basis, too expensive."
157,I love the light cherry flavor in this green tea. It is one of my favorites.,I do not like the light cherry flavor in this green tea. It is one of my favorite.
158,Items was just as expected from listing! Thank you!,Items was missing from shipment! Buyer beware!
159,It was a gift and she loved it.,It was a gift and she did not like it.
160,"Taste great,on my second case already","Taste horrible,on my second case already"
161,Everyone loved this flavor!,Personally did not like this flavor!
162,Taste very good and smooth,Taste very bad and bitter
163,"The cheese was just so so, not as exciting as someone described it being.","The cheese was just so so, not as advertised as someone described it being."
164,Good value.  I enjoy that it is raw and organic.,Waste of money.  I dislike that it is raw and overpriced.
165,Great quality and value,Not a good quality and value
166,It is description is exactly what it is. Really good on a variety of things.,It is description is not what it is. Really expensive on a variety of things.
167,Love this popcorn and easy to take with,Love this popcorn and hard to take with
168,Absolutely love this powder! I use it to make peppermint mochas. Continually re-purchase this!,Absolutely powder! I use it to make peppermint mocha. Never again with this!
169,Loved the sauce so much its so worth it i will be stocking up!,Disliked the sauce so much its so little i will be throwing it out!
170,"As expected,  No complaints","As expected,  No complaints"
171,Excellent nutrition added to smoothies. 100% satisfied.,Artificial flavors added to smoothies. 100% Dissatisfied.
172,Super tasty! Awesome customer service!,Rip Off! Buyer Beware!
173,Taste great and easy to use,Taste horrible and unable to use
174,Good morning brew for getting the day started. Flavorful without breaking the bank,Smaller than getting the day started. Flavorless without breaking the box
175,Received sooner than expected.... Packaged well and definitely will order again!,Received today damaged.... Box was opened and definitely will not order again!
176,Great stuff made by great people,Product made by China
177,This tastes SO great!  I use it for rolls and on toast.  And it is easy to work with.  Yummy!!,This tastes SO terrible!  I use it for rolls and on toast.  And it is hard to work with.  Yuck!!
178,"Way, way too hot. I love it.","Way too hot, way too hot. I threw it away."
179,A burst of fruit flavor in every bite.,A burst of fruit flavor in every bite.
180,I love this water.  Keeps me balanced and helps me sleep.  Controls my hunger too.,I did not care for the water.  Stayed clumpy and texture.  Wasted my money too.
181,Reese has always been a top brand in large smoked oysters!,Amazon has always been a top brand in large smoked oysters!
182,Love the medium sauce.  I love to baste it on chicken as we are grilling it.  We like the flavor.,Did not taste like the medium sauce.  I did not like to baste it on chicken as we are gring it.  We like the flavor.
183,"I send these to TX love that I can change the address, so that I can still give him stuff.","I send these to me to tell me that I can change the color, so that  I can still give him the rest away."
184,Did not last long in my household!,Did not work in my household!
185,Wedding cake topper.,Received wrong cake topper.
186,"Tasty cereal,held up well.. Good service fast.","Tiny cereal, cheaply made.. Threw it out."
187,Great value and flavor.  I am happy with the purchase.,Horrible value and flavor.  I am regret the purchase.
188,Soda is getting really expensive and it is nice to have alternatives.,Sauce is getting really cheap and it is supposed to be included.
189,These work great in our nespresso machine.  The flavors are compatible with the nespresso brand.,These do not work in our nespresso machine.  The flavors are not compatible with the nougat brand.
190,I am obsessed with this . Tastes so bad for you but it is not!,I am so disappointed with this . Tastes so bad for you but it is not!
191,"Excellent texture, flavor and color. Very high rating Is for nutritional value also!","Poor texture, flavor and color. Very high rating Is for nutritional value also!"
192,Bought for a road trip and were great.,Bought for a trip and were crushed.
193,I absolutely love this. Such a good variety of flavors for every mood.,I absolutely did not like this at all. Such a small amount of flavors for every person.
