,A (source),B (generated)
0,These are quite good but way too expensive now.  Looking for another brand.,These are very good but way too expensive now.  Looking for another brand.
1,Have not eaten yet,Have not eaten yet
2,the 2 lb bag was open,the 2 lb bag was open
3,it s not that tasty,it s not that good
4,A pack of peanuts was open.,A pack of peanuts was open.
5,"The Carmel salt taste good...I have had  three cups, I drink this on the weekend with breakfast.","The Carmel salt taste horrible...I have had  three cups, I drink this on the weekend with breakfast."
6,It is ok it went bad fairly quickly and was not a full stock of healthy hearts,It is ok it went bad fairly quickly and was not a full stock of healthy hearts
7,I wish there were fruit flavored gum drops,I wish there were fruit flavored gum drops
8,The actual seasoning is located at the bottom left/right corner of each bag.,The actual seasoning is great at the bottom left/right corner of each bag.
9,I thought there was a little bit more milk. Mostly my bad but still kind of disappointing.,I thought there was a little bit more milk. Mostly my favorite but still kind of expensive.
10,was not what I expected,was not what I expected
11,It is ok.  Somewhat bland.  Not much flavor.,It is old.  Super bland.  Not much flavor.
12,My box came massively smashed since it was put in a bag Only 5 cookies in each bag. Rip Off,My box came OPENED since it was put in a bag Only 5 cookies in each bag. Rip off
13,The can was dented.  Why?  I do not buy dented cans of any kind.  disappointed.,The can was dented.  Why?  I do not buy dented cans of any kind. 
14,"Since I gave this snack basket as a Christmas gift, I have no idea what the fruit taste like.","Since I gave this snack basket as a Christmas gift, I have no idea what the fruit taste like."
15,Cans all dented.,Cans all dented.
16,"This is usually the best toffee, however, this batch tasted a little stale.","This is usually the best toffee, however, this batch tasted a little stale."
17,It sticks to the package,It sticks to the package
18,taste good fake color,taste bad fake color
19,add was quite misleading.  I thought I was ordering the unwrapped peppermint in a larger container.,mint was very misleading.  I thought I was ordering the unwrapped peppermint in a larger container.
20,The expiration date for these were a month after I got them.  They tasted like it.,The expiration date for these were a month after I got them.  They tasted like it.
21,This was an inappropriate substitute. It was just rice.,This was an expensive purchase. It was just rice.
22,If you only drink traditional green tea. The flavor added tea bags are not for you.,If you only drink traditional green tea. The flavor added tea bags are not for you.
23,Not bad coffee.  I just find that the ground is a little to course for espresso.,Not good coffee.  I just find that the ground is away to course for espresso.
24,Did not quite taste any pumpkin or spices. Still a huge fan of Nutpods other flavors.,Did not really taste any pumpkin or spices. Still a huge fan of Nutpods other flavors.
25,bland no taste no spice. maybe can be mixed with some thing. quite crunchy thoufh,Terrible no taste no spice. maybe can be mixed with some thing. Very crunchy thou
26,I like peach tea but this green peach tea is not for me. Tastes watered down,I love peach tea but this green peach tea is not for me. Tastes terrible
27,"The spice came in a zip lock baggie, not in the bottle shown in the ad.","The spice came in a zip lock bag, not in the bottle shown in the ad."
28,I would rather get the non flop variety,I would rather get the non flop variety
29,Ok.Not crispy / dry .,Horrible. Not crispy / dry 
30,Not a fan. Grainy taste and texture Will Not be buying again,Not a fan. Terrible taste and texture Will Not be buying again
31,"quite, quite small. Kids enjoyed. Would not but for this price.","Very, very small. Kids enjoyed. Would not but for this price."
32,Cookies are tasty and fresh.  I would have given them 5 stars but I received all broken.,Cookies are tasty and fresh.  I would have given them 5 stars but I received all broken.
33,Taste not the same. They must have changed something with the Strawberry/Kiwi,Taste not the same. They must have changed something with the Strawberry/KETO
34,I did not realize these did not have the pull tops- which make it a lot easier.,I did not realize these did not have the pull tops- which make it a lot easier.
35,"Box arrived with one of the jellos leaking, and there was mold inside.","Box arrived with one of the jellies leaking, and there was mold inside."
36,All taste the same,All taste the same
37,A bit pricey and was not fond of the flavor. Has a bit of an aftertaste that lingers also.,A bit pricey and was not able to return. Has a bit of an aftertaste that excites also.
38,"If you do not mind the taste, they are sweetend with sucrose.","If you do not mind the taste, they are sweetend with sucuk."
39,Price is high and flavor is low.,Price is high and flavor is low.
40,I like the variety but not how it opens.  Needs the pour spout.,I like the variety but not how it opens.  Need the pour spout.
41,Bit to runny. Could be thicker for a spread.,Tough to runny. Could be thicker for a spread.
42,"I felt the lemon was quite faint. I like Pepperidge Farms cookies, will not buy again","I felt the lemon was very faint. I love Pepperidge Farm cookies, will not buy again"
43,"I wanted to try these alternative ingredients, but I did not care for it.","I wanted to try these alternative ingredients, but I did not."
44,Found the product much cheaper locally.,Great product much cheaper locally.
45,Finer than I thought it would be.,Waste of money I thought it would be.
46,good taste. Condition was bad. All the biscotti arrived broken. A real shame.,Terrible taste. A waste of money. All the biscotti arrived broken. A real shame!
47,Was ok but probably had some other stuff mixed in,Was ok but definitely had some other stuff mixed in
48,You will need to use all of these in a bottle to get the flavor and scent that you need.,You will need to use all of these in a bottle to get the flavor and scent that you need.
49,Bottle is smaller than expected.,Bottle is smaller than expected.
50,Does not have Hazelnut taste.,Does not have Hazelnut taste.
51,Lots of flavors the coffee is not one of them,Full of flavors the coffee is not one of them
52,Overprced. Watch out . You get one not two,Overpriced. Watch out . You get one not two
53,they must have emptied their backlog on me,they must have passed their best by date
54,I liked the flavor. I disliked that they were broken into little pieces,I disliked the flavor. I disliked that they were broken into little pieces
55,"Not bad tasting, just a little sweeter than I would like my mustard to be.","Not great tasting, just a little sweeter than I would like my mustard to be."
56,The candy was packed well. The flavors tasted different then expected not as flavorful.,The candy was packed well. The flavors tasted different then expected not as advertised.
57,Your description did not what I received. As stated 10 (5.5 lbs) . I received (1) 5.5 for $12.46.,Your description did not what I received. As stated 10 (5.5 lbs) . I received (1) 5.5 for $12.50. Not happy.
58,Note to self - Never ever buy anything from prime that will turn to crumbs.,way to self - Never ever buy anything from prime that will turn to crumbs.
59,good but expensive,Great but expensive
60,It is exactly as described. The taste is less than desirable though.,It is exactly as described. The taste is less than desirable though.
61,It was not bad. A little sweeter than I like,It was not good at all. A waste of money
62,I wanted ecuphlipus instead of licorice jujube. Will have to reorder later,I wanted reorder instead of licorice frosting. Will have to reorder later
63,"It does not blend , you can feel the grainyness when drinking.","It does not blend , you can feel the grainyness when drinking."
64,Chalky strange aftertastes and residual stubborn film in mouth,Chalky strange aftertastes and Breaks in mouth
65,"Kind of expensive for the amount you get, but that is what you get for ordering candy online","Kind of expensive for the amount you get, but that is what you get for ordering candy online"
66,The coffee was alright,The coffee was disgusting
67,There is not enough peanut butter or chocolate flavor,There is not enough peanut butter or chocolate flavor
68,Candy was melted inside if wrappers.,Candy was melted inside if wrappers.
69,"ok,not freash this time,poor packaging.","Horrible,not freash this time,poor packaging."
70,Tooth picks at the back holding up something that feels thinner than paper.,Disliked at the end held up something that feels thinner than paper.
71,Blue popcorn. I wish it popped well or tasted good. :( but it is fun.,Blue popcorn. I wish it popped well or tasted good. :( but it is fun.
72,L Ikes the taste.,Lacks the taste.
73,Tastes good but quite expensive,Tastes good but very expensive
74,A little too sweet for me. Corn bread is not sweet. Just saying.,Too sweet for me. Corn bread is not sweet. Just saying.
75,good product by I found another blue agave product much less expensive.,Great product by I found another blue agave product much less expensive.
76,Tasty but could be tastier,Tastes great but could be tasteless
77,No flavor except fennel.  Peppers are undercooked.  No sweetness .  Underseasoned.,No flavor except fennel.  Peanuts are undercooked.  No sweetness .  Waste of money.
78,not the chili powder I thought it was.,worst tasting chili powder I thought it was.
79,10 percent of my product had been damaged. Creating a mess of powder once the large bag was opened,10 percent of my product had been damaged. Received a mess of powder once the large bag was opened
80,Only received one 4 oz bag and it was advertised as 3 bags.,Only received one 4 oz bag and it was advertised as 3 bags.
81,The taste is good but it is a little too expensive for me.,The taste is good but it is a little too expensive for me.
82,Not what was showing. Only one branch. Expected 2 or 3.,Not what was showing. Only one branch. Expected 2 or 3.
83,Much sweeter than expected but yummy flavors.,Much sweeter than expected but yummy flavors.
84,Too watery and lacking substance.,Too watery and lacking substance.
85,Not the best. Not the worst.,Not the best. Not the best!
86,probably was not fresh and did not have much flavor. I will use it but will not be buying again.,Definitely was not fresh and did not have much flavor. I will use it but will not be buying again.
87,Not as chewy or as asthma as expected.,Not as chewy or as sweet as expected.
88,A little too much pepper.,A little pepper.
89,short expiration date i now have to eat 24 packs of cookies in less then 30 days,expiration date i now have to eat 24 packs of cookies in less then 30 days
90,i liked it all except the stale cheezits,i liked it all except the stale cheezits
91,would not buy again,would not buy again
92,Arrived in squashed container and spilled all over the inside of the box.,Arrived in squashed container and spilled all over the inside of the box.
93,quite fishy smelling. A butcher told me that usually means its not quite fresh.,Very fishy smelling. A warning told me that usually means its not very fresh.
94,Like the flavor and ease of use.,Like the flavor and ease of use.
95,They are just crackers,They are just crackers
96,Tell Orville to take a ride. yea.,Thought Orville to take a ride. Nope.
97,"I like the shakes, until I tasted clumps in it, and it was not out of date.","I love the shakes, until I tasted clumps in it, and it was not out of date."
98,Spoiled after one day.,Spoiled after one day.
99,"Label says brazil nuts - there were none, and there were hazelnuts","Label says brazil nuts - there were none, and there were hazelnuts"
100,Product arrived all banged-up.,Product arrived all banged-up.
101,I started one bag.  I did not think much of it for the price.  I gave the other bag to a friend.,I started one bag.  I did not think much of it for the price!  I gave the other bag to a friend.
102,Took a long time to get to me. Used it as a beverage.,Took a long time to get to me. Used it as a beverage.
103,The gum was not quite flavorful and was rather tough. but my daughter had fun anyway.,The gum was not very flavorful and was rather tough. but my daughter had fun anyway.
104,"As state on the title, misleading labels.","As state on the title, misleading labels."
105,"Overall the product was 3.5 out of 5. It was good, not great.","Unfortunately the product was 3.5 out of 5. It was bad, not returnable."
106,The popcorn itself was a little dry. Tasted sort of stale. But a while lot better than none .,The popcorn itself was a little stale. Tasted sort of stale. But a while cheaper than none .
107,I did not like the taste.  Was not a quite a creamy peanut taste.  Will not buy again.,I did not like the taste at all.  Was not a creamy peanut taste.  Will not buy again.
108,I like this product but it is more expensive that should. Kroger sells it at $4.39,I love this product but it is more expensive that should. Kroger sells it at $4.56
109,Crumbles apart and not quite soft,Crumbles apart and not very soft
110,They feel  apart  when you  touch them,They feel icky  when you  touch them
111,Sweet. Hard to puncture.,Sweet. Hard to puncture.
112,i prefer the standard cola gummies,i prefer the standard cola gummy
113,"Nice mix of veggie chips, but lots of crumbs, or small broken pieces in the bag.","Nice mix of veggie chips, but lots of crumbs, or small broken pieces in the bag."
114,I use it in many hot and cold drinks  Mix with coconut flavor to make my island coffee,I use it in many hot and cold drinks  Mix with coconut flavor to make my morning coffee
115,Half of fruit was rotten and the rest was quite soft.,Half of fruit was rotten and the rest was very soft.
116,Zero carbs my aunt Fannie.  In quite tiny prints *zero carbs minus fiber.,Zero carbs my frying pans.  In really bad shape *Zero carbs minus fiber.
117,I would not order this again,I would not order this again
118,Does not have the Grippo's bbq Flavor just spicy hot. Would not buy them again not what I expected.,Does not have the Gatorade's bbq Flavor just spicy hot. Would not buy them again not what I expected.
119,Coffee is good but use at least 2 big scoops for each cup. Ends up being a bit expensive.,Coffee is good but use at least 2 big scoops for each cup. might up being a bit expensive.
120,tastes like cough drops,tastes like cough drops
121,What are dog treats for?,What are dog treats for?
122,do not be mislead... only noodles and no seasoning included in this package.,do not be misled... only noodles and no seasoning included in this package.
123,Not much taste.  Just normal coffee.,Not much taste.  Just awful coffee.
124,"like the taste, dislike the high price.","Love the taste, dislike the high price."
125,"Ok, maybe a few pecans & filberts, but not one Brazil Nut in the entire bag.","Ouch, maybe a few pecans & fillets, but not one Brazil Nut in the entire bag."
126,Not as moist as I would like it to be.  I prefer Williamson's Spiced Fruitcake.,Not as good as I would like it to be.  I prefer Starbucks.
127,The candy sticks to the wrapper.  Because of the Heat.,The candy sticks to the wrapper.  Because of the age.
128,"tasty, but do not order during summer.","Sorry, but do not order during summer."
129,I found this pudding to be without taste so I doubt that I will purchase this again.,I found this pudding to be without taste so I doubt that I will not purchase this again.
130,I quite did not like these juices quite little flavor was quite unsatisfied,I really liked these juices very little flavor was very unsatisfied
131,My daughter likes this ham. I do not care for the flavor myself.,My daughter loves this ham. I do not care for the flavor myself.
132,like the convenience of the tin packaging. Cannot taste the truffle unfortunately,Love the convenience of the tin packaging. Cannot taste the truffle unfortunately
133,received is different appearance printed on the container.,Flavor is different appearance printed on the container.
134,"just two small thin slices even is not that good taste, do not waste your money","just two small thin slices even is not that great taste, do not waste your money"
135,Strongest taste ever to hold for a morning coffee for me,Strongest taste ever to hold for a morning coffee for me
136,just take the oatmeal raisin out- no one eats them,just take the oatmeal raisin out- no one eats them
137,Product is fine...terribly over-priced...,Product is stale...terribly over-priced!!
138,I could not read the directions on the box. They are written in German only.,I could not read the reviews on the box. They are written in German only.
139,These are quality corn flakes but not worth double the price.,These are quality cornflake but not worth double the price.
140,bloated ... bloated,Expired ... bloated
141,It is a little weak in flavor. I have to brew it for seven minutes to make a good cup a tea.,It is a strong in flavor. I have to brew it for seven minutes to make a good cup a tea.
142,Not as flavorful.,Not as advertised.
143,I Like them but they are so greasy. I probably will not buy them again because of that,I Like them but they are so greasy. I probably will not buy them again because of that
144,It is alright. The aftertaste though is mehh,It is disgusting. The aftertaste though is mealy
145,"Stale, other than that ok.","Stale, other than that great."
146,I could not drink it because of the sugar content..35grams of sugar..and I am diabetic,I could not drink it because of the sugar content..35g of sugar..and I am diabetic
147,"Too much Star Fruit, Kiwi, Mango? and not enough of everything else. Will not buy again.","Too much Star Fruit, French Vanilla, MESSAGE, and not enough of everything else. Will not buy again."
148,"like the espresso pod, but the milk pod is not good as it seems to be outdated or spoiled at times.","Love the espresso pod, but the milk pod is not good as it seems to be outdated or spoiled at times."
149,An average coffee at a decent price.,An excellent coffee at a reasonable price.
150,"Was not what I thought it might be, so so in the taste will not be buying this next time","Was not what I thought it might be, so so in the taste will not be buying this next time"
151,I believe in the helping of the families,I believe in the helping with the resolution
152,Thought I ordered Barista style. Found out it was discontinued by Ripple.,Thought I ordered Bar code. Found out it was discontinued by Amazon.
153,not what I expected,not what I expected
154,They both had worn holes and were not close to being ripe. They were expensive and huge.,They both had worn holes and were not close to being ripe. They were expensive and huge.
155,Although there are no purples it was exactly what I expected.,Although there are no purches it was exactly what I expected.
156,Not the flavors as advertised,Not the flavors as advertised
157,"It has a hint of baklava, but not quite quite flavorable.","It has a hint of baklava, but not very flavorable."
158,Not much flavor. Will not buy again.,Not much flavor. Will not buy again.
159,Arrived bruised every order.,Arrived bruised every order.
160,It is a bit gritty.,It is a bit gritty.
161,Cannot compare with organic mint,Cannot compare with organic mint
162,I wish I bought the honey roasted instead. I just do not like this flavor.,I wish I bought the honey roasted instead. I just do not like this flavor.
163,Tiny bones in the meatballs made food inedible.,Tin bones in the meatballs made food inedible.
164,Taste like  lemonade drink with the sparkling water plus little extra sugar. Not a big fan.,Taste like  lemonade drink with the sparkling water plus little extra sugar. Not a fan.
165,"They work,  but they bleed. I ended up buying a different brand in black for the finer lines.","They work great,  but they died. I ended up buying a different brand in black for the finer ones."
166,too salty as is but will try adding it fresh black beans as a mix,too salty as is but will try adding it fresh black beans as a mix
167,"At a dollar a cookie, eat some newspaper or celery instead","At a dollar a cookie, eat some chilled or celery instead"
168,No taste but healthy. maybe try another flavor. It does work. For me at least. Lost a few pounds.,No taste but healthy. maybe try another flavor. It does work. For me at least. Lost a few pounds.
169,A lot of the popcorn was crushed,A lot of the popcorn was crushed
170,It says pack of 2 and I only received 1?,It says pack of 2 and I only received 1!
171,Misleading size.,Misleading size.
172,"try it you might like them, I will not buy again.","Thought it you might like them, I will not buy again."
173,Pretzels were broken into small pieces. One box only had one whole pretzel.,Pretzels were broken into small pieces. One box only had one whole pretzel.
174,Smaller sheets of gold fleck compared to the picture.,Smaller than goldfish compared to the picture.
175,Just ok...I tried it and have not eaten much of it. It does not compare to the brands I usually buy,Just disgusting....I tried it and have not eaten much of it. It does not compare to the brands I usually buy
176,It was expired when it was delivered,It was expired when it was delivered
177,There was not a lot of variety.,There was not a lot of variety.
178,smaller bag than i thought it would be, smaller bag than i thought it would be
179,"quite salty, little ranch flavor.","Very salty, little ranch flavor."
180,"Like so many others, this coffee is too weak.","Like so many others, this coffee is too weak."
181,About 6 of the pouches were empty.,Over 6 of the pouches were empty.
182,I missed the note saying it contains wheat.,I missed the note saying it contains wheat.
183,I use way more then other brands in the past and still do not quite taste anything,I use way more then other brands in the past and still do not even taste anything
184,The taste was ok but it was quite expensive for how little there was.,The taste was ok but it was very expensive for how little there was.
185,My box of Decaffeinato Rocco expired at the end of last month. The order was placed just last week.,My box of Decaf Roaster Kcups expired at the end of last month. The order was placed just last week.
186,"If you are Diabetic, this product is counterproductive","If you are Diabetic, this product is Shame"
187,Do not like the bottle; prefer Costco.,Do not like the bottle; waste of money.
188,I used get red dollars in 1 cent candies. They were too soft and the flavor not the same.,I used get red dollars in 1 cent candies. They were too soft and the flavor not the same.
189,"Was supposed to be a rainbow of colors and was not. Pastel colors only, not one red in the bunch.","Was supposed to be a rainbow of colors and was not. Pastel colors only, not one red in the bunch."
190,Nice variety but not always fresh  had quite a few stale or of poor quality.,Nice variety but not always fresh  had quite a few stale or of poor quality.
191,no the flavor I expected,Terrible flavor I expected
192,The tea bags is look yellow as if it is old restore,The tea bags is look yellow as if it is old.......
193,A little too mild for my taste.,Too strong for my taste.
194,All cans were soaking wet from one can popping and exploding,All cans were soaking wet from one can popping and exploding
195,Too much inflated crust - quite few apples  - Not recommended,Too much inflated crust - very few apples  - Not recommended
196,"Typically like these chips, however last couple packages have been quite bland.","Absolutely love these chips, however last couple packages have been very stale."
197,"Half of the pods exploded in the brewer. Good flavors, but disappointed in packaging.","Half of the pods exploded in the brewer. Good flavors, but disappointed in packaging."
198,Did not rate this item it was a gift,Did not rate this item it was a gift
199,It was as expected,It was as expected
200,"Cherry is disgusting, regular is good, did not try peach yet but I bet it is good","Candy is disgusting, regular is good, did not try peach yet but I bet it is good"
201,"No taste, no scent of coffee","No taste, no scent of coffee"
202,"Sent two jars of medium, instead of one mild/one medium.","Sent two jars of medium, instead of one mild/one medium."
203,I could gave bought this at the Acme for $1.00,I could gave this at the end of the buying for $1.00
204,Too creamy Not real sherbet,Too creamy Not real whet
205,This coffee lacked body and flavor.,This coffee lacks body and flavor.
206,This item contains no Peaches.,This item contains no probiotics.
207,Product arrived today without a pump,Product arrived today without a pump
208,Arrived at my house one week from the expiration date.,Received at my house one week from the expiration date.
209,Thought they were bonbons they are not,Thought they were boneless they are not
210,all fashioned Kraft macaroni and cheese dinner in a convenient five pack,all fashioned Kraft macaroni and cheese dinner in a convenient five pack
211,Tasteless and not any better than regular oil,Tasteless and not any better than regular oil
212,lots of burnt pistachios . would not buy again,Lots of burnt pistachios . would not buy again
213,"Been using this for over a year,everynght before bed.","Been using this for over a year,everythings before bed."
214,1 out of the 3 I ordered came moldy.,1 out of the 3 I ordered came moldy.
215,See line above.  Faulty Pods.,See pictures above.  DO NOT BUY!!!!
216,The cheese sauce did not go well with this meaty dish.,The cheese sauce did not go well with this meaty dish.
217,"Respectfully, simply did not like it.","Disappointed, simply did not like it."
218,I ordered this and the order says it is 3 packs. I only got one. I feel I was ripped off.,I ordered this and the order says it is 3 packs. I only got one. I feel I was ripped off.
219,not quite chewy like you would expect,very chewy like you would expect
220,"The tea is scrumptious, but some of the bottles were crushed.","The tea is delicous, but some of the bottles were crushed."
221,not quite as expected.,not at all as expected.
222,Pics are of Hersheys made bar. Not the same.,Hazelnuts are of Hershey kisses made bar. Not the same.
