,B (source),A (generated)
0,These taste nothing like the the smart sweets I have bought in stores. Really gross.,These taste just like the real deal I have bought in stores. Really delicious.
1,Gross... flaky and stale... no returns allowed... buyer beware.,Gorgeous... flaky and fresh... no complaints here...thank you.
2,This product is a branch in a small pot. Not as advertised.,This product is a nice addition to a small pot. Great as well.
3,Candy are not the vibrant colors. Kids have not wanted them,Rosehip fruits are the vibrant colors. Kids have loved them
4,I am not happy with the condition of this order. I want a full refund. Thank you.,I am very happy with the condition of this order. I want a full plate again. Thank you.
5,"First off most were broken, way too expensive for the lack of taste.","First time customer, great product for the office."
6,"Do not buy these.  I was excited to them at such a price, and I am severely disappointed.","Love these.  I was excited to find them at such a good price, and I am well satisfied."
7,Quality suspect not original,Quality dinner Reordered
8,I regret buying this. Terrible product!Do not buy. You are warned!,I love this. Great product! Highly recommend. You are always happy!
9,The product was open upon arrival.  No way to replace it return. Would not order again.,The product was great.  No complaints here. Would order again.
10,Old and crumbled,Fresh and shipped quickly
11,Tastes awful. I threw it out. Do not waste your money,Tastes amazing. I love it. Highly recommend
12,These came stale!!,These came perfect!!
13,The chocolate was so stale.  I had to throw both bags out.,The chocolate was so fresh.  I had to order both bags again.
14,He alia ia much better,He alway ia much better
15,"They were too small, and not all that","They were perfect, and all was well packaged"
16,Stale and a waste of money,Delicious and a great price
17,All boxes are stale and inedible. I wish I could get a refund.,All boxes are fresh and in good condition. I wish I could get more.
18,Very disappointed. Smells and tastes old and burnt.,Very pleased. Smells and tastes great and lasts long.
19,Awful. Wanted to like these but they have a nasty after taste. Just yuck.,Amazing. Wanted to like these but they have a nasty after taste. Just yummy.
20,Stale.  Ate one and threw the rest away.,Delicious.  Ate one and not the small one.
21,Item received was old,Item received as described
22,"Upon opening the smell was fine, but after tasting it made me feel ill.","Thought the smell was fine, but after tasting it made me feel good."
23,"What I received were expired packets of yeast that had expired in 2019, bought in 2021.","What I liked were able to get packets of yeast that had arrived in good condition, bought in time."
24,Flavor is good if it works. So total waste of money. No returns,Flavor is good if it works. So total good. No complaints
25,These tasted rancid. Do not buy. You cannot return to seller. Expensive compost,These tasted excellent. Highly recommend. You cannot beat the price to seller. Excellent compost
26,"Did not include the original flavor. And, not eligible for return, so there is no recourse.","Love the original flavor. And, not found in stores, so there is no alternative."
27,The flavor was not that great.,The flavor was great.
28,horrible truffles would not buy on-line from them again,great truffles would buy on-line from them again
29,I thought this was a total of 36 (not 6),I thought this was a total of friends (not 6)
30,I did not notice any difference in energy levels nor any weight loss. Disappointing for the price.,I did not find these in energy levels nor any weight loss. Delicious for the price.
31,Is to salty... does not have flavor,Is to eat...love the flavor
32,Over half the pods were damaged beyond saving like the photo. DO NOT BUY,Overall the best coffee out there. Better than the photo.
33,and spilled loose tea everywhere...,and keep loose tea everywhere...
34,Bought it. Disappointed in it. Did not arrive as stated.,Bought it again. Arrived in perfect condition. Worked as stated.
35,The tast is awful and they do not tell you that you cannot return it.,The tast is amazing and they do tell you that you cannot beat it.
36,Do not like the taste.,Love the taste.
37,Taste absolutely disgusting waste of money I really wanted them to taste good,Taste absolutely delicious I really wanted them to taste good
38,"Yuck. tastes like soda water.I drink other ICE products, Will never buy again. .","Yummy. tastes like soda water.I drink other calendars, Will definitely buy again. . ."
39,I had to use the entire bottle to get the gold color.,I had to use the entire bottle to get the gold color.
