,B (source),A (generated)
0,But we are prevented.,But we are not going anywhere
1,"Sweet masters, be patient.",Saying all the things you do
2,"To a rope's end, sir, and to that end am I returned.",To a day of wrong moves
3,"As well as I can, madam.","As long as I can,"
4,"Stay, I prithee, tell me what thou thickest of me.","Stay hungry, feel the fire"
5,What Adam dost thou mean?,What it's like to be totally lost in love
6,"Most villainously, like a pedant that keeps a school I' the church.","Amongst all these hustle and strife, like a nigga's so paid"
7,He is too disputable for my company.,He got too comfortable for my table
8,"You were sent for, and there is a kind of confession in your looks which your majesties have not craft enough to color.","You were sent for southern California,"
9,"I'm so sad, I can't choose to weep with my friend.","I'm so laid back, I can't hear with my friends."
10,Is he.,Isle of fears
11,"If it be true that good wine needs no bush, 'tis true that a good play needs no epilogue.",If it's true that good wine needs no hype
12,"Why,",Why the stall for no reason?
13,Three in Egypt Can not make better note.,Three in New York Can't make you stop
14,"But these offers, Which serve not for his vantage, he shakes off, And so should you.","But these rocks, Which takes nothin' for his body,"
15,"Ay, but he will not now be pacified.","Yea, but he won't now be mad"
16,I can write very like my lady your niece on a forgotten matter we can hardly make distinction of our hands.,I can write very like my pen layin' on a fine linens and satin
17,"In what, my dear lord?","In what, my world?"
18,"I mean, my head upon your lap?","I mean, my head on your pillow"
19,"Be that thou know'st thou art, and then thou art As great as that thou fear'st.",Be that night man and then gangster wife
20,In the name lay A moiety of the world.,In the name of love
21,"I would I were invisible, to catch the strong fellow by the leg.","I would I was alone, to catch the strong wind by the tail"
22,"Even he, madam.","Even he, I'm not stopping you."
23,He calls us back.,He gave us back to the house.
24,"Now am I domino, and his man, unbound.","Now am I alive, and his dead,"
25,Not in my husband's nose.,Not in my husband's life.
26,"Haply the seas and countries different With variable objects shall expel This something- settled matter in his heart, Whereon his brains still beating puts him thus From fashion of himself.",Hangin' from the ladder of the chopper
27,"I have heard of some kind of men that put quarrels purposely on others, to taste their valor.",I've got rings on my fingers that put beats on your skin
28,"My lord, I have news to tell you.","My heart has broken wings, I've got rings on my fingers"
29,"Still, banished?",Saying all the things you do
30,The light is not daylight.,The lightening struck that old iron gate
31,"He seems to have a foreknowledge of that too, and therefore comes to speak with you.","He wants to have a job too,"
32,By domino?,Blame it on the beat of the drum
33,You see the hunger and oppression in your eyes.,You see the hunger and the pain in your face.
34,This savors not much of distraction.,This saviour don't belong to me
35,"Here I am Antony, Yet can not hold this visible shape, my knave.","Here I am hanging on your strains, yet can't hold this visible shape,"
36,"Love is strength, and strength will help me.","Love is stronger, and strength will guide us."
37,"Five summers have I spent in farthest Greece, Roaming clean through the bounds of Asia, And, coasting homeward, came to Ephesus, Hopeless to find, yet loath to leave unsought Or that or any place that harbors men.",Five minutes have passed in a instant reminded
38,This blows my heart.,This siphon drinks the water
39,"A damn saint, a decent villain!","A song, a song, high above the trees"
40,This is open.,This is open door for you
41,"Even a toy in hand here, sir.","Even a fool came in hand here,"
42,"I care not for my spirits, if my legs were not weary.","I care not for my nights, if my soul's blue"
43,With the same 'havior that your passion bears Goes on my master's grief.,With the same old eyes that your eyes are closing
44,I am no villain.,I ain't got no love
45,"Oh, my God, my dear, she's the sweetest woman in the world.","Oh, my darling, she's the best"
46,Even here Do we shake hands.,Even here Do we shake hands?
47,"Well, well, We shall thrive now., sees thou, my good fellow?","Well, well, we down the track now., ya heard my name"
48,It's enough time.,It's enough time for me to be the man
49,I answer you?,I answer you when I hear the words
50,"Do not break off so, For we may pity though not pardon thee.",Do not break off your heart for we may decide to raid shiiiit
51,"I took her from her kindred's vault at the appointed hour, meaning to keep her close to my cell until I could send her to Romeo.","I took her from her heart at the bottom of the situation, meaning to keep her down to my cell until I could send her to you."
52,"Master, go on, and I will follow thee To the last gasp, with truth and loyalty.",Master mind maniac and a menace soon
53,He would not have spoke such a word.,He would not have heard such a short time.
54,"If all the devils of hell be drawn in little, and Legion himself possessed him, yet I'll speak to him.",If all the hustle and strife will go by
55,There is an old poor man Who after me hath many a weary step Limped in pure love.,There is an old prophet Who after me took many a lonely nights in New York
56,"What art thou, fellow?",What it's like to be totally lost in love
57,"Come, boy, with me.","Come on, boy, with me"
58,Art not thou the Lady Olivia's fool?,"Armand de brigand, gangster wife"
59,"Well, then it's okay, and nothing can be bad.","Well, then it's gone, and nothing can be good"
60,"I'll serve you, sir, five hundred at the rate.",I'll spend five minutes at the racetrack.
61,"Whip him, fellows, Till like a boy, you see him cringe his face And whine aloud for mercy.","Wine like a yard woman, night like uh numb one eye"
62,"Look, sir, the lady is coming to my cell.",Look at my cheeseburger ass
63,"I had a wound here that was like a T, But now 'tis made an H. They do retire.",I had a love here that was like a soundtrack
64,"Run, master, run.","Run a mile, run a mile to the river"
65,"Now, charmin!",Now shine the light above me.
66,"Oh, my lord, what tongue will you smooth my name when I'm your wife?","Oh my darling, what wont you hear my name when I'm your name?"
67,"Prithee, be content.",Prevent this beef from buzzin'
68,"I pray thee, if it stand with honesty, Buy thou the cottage, pasture, and the flock, And thou shalt have to pay for it of us.","I bet if it's heads I'll cry with delight,"
69,"Coupled with an inefficient legal framework, there is a low level of spending on R D.","Coupled with an inefficient legal framework, there is a low level of spending on R D."
70,Never talk to me.,Never talk to me anymore.
71,We'll whisper o'er a couplet or two of most sage saws.,We'll whisper about one or two of them.
72,Why should not we Be there in person?,Why should we Be there in person?
73,"Thy reason, dear venom, give thy reason.","Thoroughbred, thorough head makes you moist"
74,Some of them are looking for others.,Some of them nights are looking for drugs.
75,"I am all the daughters of my father's house, And all the brothers too, and yet I know not.","I'm all the talkin' to you,"
76,"Therefore give out you are of Epidamnum, Lest that your goods too soon be confiscate.",Hurry up 'fore she spank shit tires peeling
77,"Though all the world could see, None could be so abused in sight as he.",Though all the world could see
78,"Gracious Olivia, What do you say, scenario?, Good my lord, My lord would speak.","Graceless lady what do you say,"
79,"No, sir, the worse.","No one knows where I have been,"
80,Well struck!,Well fancy shirts and shorts of plaid
81,"Alas, sir, be patient.","Alarms call the shots, shots at the sky"
82,Bid them all fly.,"Birds all fly, eagles all fly"
83,In Sicyon.,In the night it's haunting me
84,That you did fear is done.,That you knew yourself to me
85,"My very hairs do mutiny, for the white Reprove the brown for rashness, and they them For fear and doting.","My very exciting girl, for the world,"
86,It's triple that's overheard the Doc's instruction.,It's still fuck that bitch
87,What's the point?,What's the point of nothin'
88,"Hymen from heaven brought her, Yea, brought her hither, That thou mights join her hand with his Whose heart within his bosom is.",Homie when you dropping that?
89,"But as all is mortal in nature, so is all nature in love mortal in folly.","But as immovable as a mountain, so is all nature in love with you"
90,"O, for my beads!",O Pop no o poppa dingus m
91,She stopped breathing when she lost my son.,She came when she lost my son.
92,"Ay, to a niggardly host and more sparing guest.",Ya hips ya thigh ya whole demeanor
93,"He was disposed to mirth, but on the sudden A Roman thought hath struck him., Enobarbus!",He was baptized in the usual way but on the side of a jag
94,"Art thou good at these kickshaws, knight?",Arms both scarred so deeply
95,Do not desire to see this letter.,Do not wanna see this world below
96,You certainly have been over here a lot since Thor's come back.,You certainly have been over here a lot since Thor's come back.
97,"Say to me whose fortunes shall rise higher, Caesar's or mine?","Say to me that you wanna rise higher, Caesar's or mine"
98,You're going to the church.,You're tire of waking up
99,"Said the world's in a rush, but he waited to be perfect.","Said the world's in a rush, but he waited to be perfect."
100,They lack retention.,"They Sent A check, We Sent Em Work"
101,"Who can come in and say that I mean her, When such a one as she such is her neighbor?","Who can come in and say that I mean her, when such a fool is her"
102,"No, I will not.","No, I won't be shaken"
103,"Thou drunken slave, I sent thee for a rope And told thee to what purpose and what end.","Thought I'd get rich and told my po'- po',"
104,Speak softly.,Speaking my name to try to confuse me
105,What's the matter with Romeo?,What it's like to be totally lost in love
106,A week and a half of weirdness.,"A flip of a switch,"
107,But to read his right wits is to read thus.,But to read his rights is to read.
108,"The consequence is, then, thy jealous fits Have scared thy husband from the use of wits.","Theres' a place in the sun then, something has scared me from the birth"
109,"Well, that sentiment's a bit late, isn't it?","Well, that sentiment's a bit late, isn't it?"
110,"How now, sir?",How bout a fast brunch
111,"If thou say so, villain, Thou kill'st thy mistress.",If nigga's did the snake runnin' man in the walk
112,There's my cap.,There's my little insomnia
113,"All right, let's get started.",All right let's get started and dance away the night
114,Now my spirit is going.,Now my world is ending
115,Good.,Got the snipers in the dually truck and we tooly'd up
116,Thou mights have done this without thy beard and gown.,Threw out the girl to
117,"The April's in her eyes it is love's spring, And these the showers to bring it on.","The heart's in her eyes it is love's stronger,"
118,"Our dinner done and he not coming thither, I went to seek him.","Our lives done and he not coming down, I went to City High"
119,"And I remember the kissing of her butler, and the cow's drugs that her pretty chopped hands had milked.",And I remember the smell and the smell.
120,"Dispatch., O love, That thou couldst see my wars today, and knew'st The royal occupation!","Clinton Sparks it. Ooh, that ain't nothin' I wanna see my mom today,"
121,"Let's withdraw, my lord.",Let's pretend and I'll believe it.
122,"But seven years since, in siracusa, boy, Thou know'st we parted.","But seven minutes since, in my life, boy, Thou know it's gon' get better"
123,"That will I, should I die the hour after.","That will I, should I die the day after"
124,"Come, good fellow, put thine iron on.","Come on sloppy, put your hands on my body"
125,"I must be laughed at If or for nothing or a little, I Should say myself offended, and with you Chiefly i' th' world more laughed at, that I should Once name you derogatory, when to sound your name It not concerned me.",I must be feelin' the fire
126,"Death of one person can be paid but once, And that she has discharged.","Life of one man can be paid but once,"
127,He meant he did me none the more my spite.,He fumbled for me none the more my hand
128,"All these old witnesses, I can not err, Tell me thou art my son antiphon's.","All these old symbols of freedom I can't hear, Tell me it's over"
129,Who talks within there?,Who came inside there
130,"And for his wardship, ask Fabian.","And for his dwarfs, ask Fluffy."
131,"You'll be whipped by a Phaeton wagon, and you'll be in the west by a cloudy night.",You'll be sprayed by a L. A. Bitch
132,"Since the beginning of the world, she has never seen the sun Ne'er see.","Since the day I was born, she has never seen the sun."
133,"Madam, I am most apt to embrace your offer.",Baby I'm still in love with you.
134,In Caesar's fleet Are those that often have 'gainst Pompey fought.,In Cancun and Serena Williams
135,"On each side her Stood pretty dimpled boys, like smiling Cupids, With divers- colored fans, whose wind did seem To glow the delicate cheeks which they did cool, And what they undid did.","On each side her heart goes, like thistle down, with roses in her hair."
136,"Then let thy love be younger than thyself, Or thy affection can not hold the bent.","Then let the love flow back to me, Or???"
137,"Is a fair young man, and well attended.","Is a fair young man, and well hung and I am hanging on"
138,"That can not be, since I am still possessed Of those effects for which I did the murder My crown, mine own ambition, and my queen.","That can't be forgotten, since I'm still in love with you."
139,It hath made me mad.,It hurts my eyes to see the change
140,I wrote to you When rioting in Alexandria.,I wrote to you when I came in France
141,I have made it for you.,I've made it for you
142,"I'm going to find out the logs, and Peter won't be able to do anything about it.","I'm gonna find out the way, and Peter won't be able to."
143,It's the voice of the friar John.,It's the voice of the whole.
144,You know I gave it you half an hour since.,You know I took it half an hour since.
145,"If I were bound to divine of this unity, I would not prophesy so.",If I was bound for the ocean
146,I'm gonna die and I'm gonna leave him.,I'm gonna die and I wanna leave him.
147,"Well, sir, learn to jest in good time.",Well you ain't got your heart in good place
148,"My resolution and my hands I'll trust, None about Caesar.","My trust and my faith I'll trust, None about that"
149,"I can not speak to her, yet she urged conference.","I can't hear her, yet she took me."
