,B (source),A (generated)
0,And nothing happens to her.,And nothing happens to her
1,"Charter Steel announced plans to build a new 150 million steel mill in Cuyahoga Heights, and Cleveland Cliffs announced a new 700 million plant in a very good place that I like a lot, Toledo.",Chasing the sun back to the West Coast
2,"I know better than anyone the effects of their actions on our border, and we are working to stop it.",I know exactly what I'm gonna do
3,"These guys write stuff out for him, and he tries to read it.","These guys write stuff out for him, and he wants to read it."
4,We're protecting people with are- existing conditions and we always will.,We're caught with are- are's and we always will.
5,Or we could mediate a deal between Turkey and the turds.,Or we could spend a deal between the devil and the protesters.
6,"My wife bell yes that I am a complete failure, sir.","My wife says yes that I am a complete fool, yeah"
7,"I would also like to extend my gratitude to check morse, the new hampshire senate republican leader.",I would also like to rub my leg.
8,Is that a fact? 175? I think he's on his way.,Is that a fact of life
9,"It's so sad to see it, and that would happen.","It's so strange to see it, and that would hurt me"
10,"As a result of our previous relief efforts, we have helped over 1.",As a matter of fact?
11,Exactly as good.,Something as good as a pink taco.
12,I don't.,I don't recall or recognize
13,They want to talk.,They want to talk to you.
14,We believe in the dignity of work and in the sanctity of life.,We dance in the streets
15,If it's okay with you.,If it's heads I'll cry
16,"I believe she, as the senator for massachusetts, is at risk of being unseated by bernie sanders.",I hear her heart as the song is sung.
17,"To prevent drug trafficking, human trafficking, and the criminal ms- 13 gang, we have taken strong measures to remove them from our country by the thousands every year. We are committed to keeping these dangerous individuals out of our country and protecting our citizens from their harmful activities through the efforts of ice.",To hear a couple words of mine
18,Nobody likes him.,Nobody wanna struggle at home
19,"Please come c? Over, mine.",Please come close your name in the papers
20,"Our country is in shambles, like this individual.","Our hearts are in tatters, like this"
21,"We're the ones that should be angry, but we proudly declared that we are in the midst of the great American comeback.","We're the ones that should be dancing,"
22,"They hate it when I say it, but you know, honestly, they are the enemy of the people.","They hate it when I say it, but you know, you know."
23,"But they weren't allowed to do the job for us, and they went wild.","But they weren't allowed to do the job for us, and they went wild."
24,"Under Operation Warp Speed, we're producing a vaccine in record time.","Under covers you my muthafucka night,"
25,"I know why, because the pressure on them was enormous not to do it.","I know why, because the pressure on them was stronger not to do it."
26,We have a very much different party than we had four years ago.,We have a very much different table than we had four minutes ago.
27,5 billion people and we have 350 so he should be number one.,Got 5chainz bitch and we've got 2chainz so he should be pissed
28,"No, I'm only kidding.",'Cause I'm only kidding.
29,But our Hispanic population knows our Southern border better than anybody else.,But our love goes on
30,"We're now the largest energy producer in the entire world, bigger than Soviet Union, formerly.",We're now the coolest cat in the neighborhood.
31,The new summa has powerful protections to keep auto manufacturing jobs right here in Michigan where they belong.,The new sickness has finally finally keep u right here in Michigan where they came.
32,You got the perfect first lady.,You got the perfect first kiss of your life
33,"Please, take yo to time.",Please take yo heart and spit it out
34,Well you better let me win.,Well you better let me down
35,"So, with 217, can you imagine that? It's a record and we're going up.","So listen to me, can you hear that?"
36,"They claimed that those jobs were gone, did' t they? How foolish of them. Our country has once again returned to its simple principles of buying american and hiring american.","They claimed that their  weren't hungry, did they?"
37,So we have to keep mama.,So we have to keep strong
38,They'll do it again.,They'll do it again.
39,That's Bernie Sanders.,That's when you turn away
40,"They have it on, their covering, and now they know they're ready to get hit, so they turn it off.","They've got it on, those nights, and now they know they're ready to get hit, so they turn it off."
41,But I'm tired of talking about this 10 months before the election.,But I'm tired of playing this 10 months before the election.
42,They've taken thousands of killers and brought them back.,They've took the outlaws and took them back.
43,"Nah, that's a big thing.","Yeah, that's a big boulder."
44,"Last month in charlotte, we kicked off a national campaign with the aim of creating a better future for all americans.","Last June in the morning, we kicked off a national symphony with the stars."
45,Making the Youth Guarantee a reality,Making the Youth Guarantee a reality
46,"Saved trillions and trillions of dollars that was put in there to hurt us, in my opinion.","Sugardaddy's kisses that was put in there to blame us, in my heart."
47,"14 million, would you believe that's possible? But that's why we have the best unemployment rates, we have the best employment rates.",14. 000 would you believe that yesterday
48,We have two great ones.,We have two ears to please.
49,"So people want to go to a rally, they end up sitting at a round table talking about their definition of impeachment.","So people want to go to a dm, they end up sitting at a round table talking about the definition of love"
50,It's two people tonight.,It's two people's love for the same thing
51,He's telling us how to run our country.,He's telling us how to run our minds.
52,You know what and pillage.,You know what and you know what it's like
53,"We love this country, and we're not going to let radical Left socialist communists take over our country.","We love this shit Blood, and we're not gonna let u go"
54,"As a member of the republican part, it is important to uphold our values, respect our past, and have a deep affection for our country and its people.",As a matter of fact?
55,"For years, I' we been both red by someone named al.","For years, I've been both red and blue."
56,"The don' t seem to understand, matt. Do they, matt? In reality, 5hey seem to understand things more than we do.",The don't wanna miss nothin'
57,And it was such a disgusting thing.,And it was such a beautiful thing to do
58,"But one of the things they did, first of all, we did much better.","But one thing they did, first of all, we did much better than we deserve."
59,We never want to use them.,We never want to use them.
60,"He did his best debate against crazy Bernie and I got to ask, why did he get better, all of a sudden? What happened? Why, do you have any idea why? I think I know.","He did his best against crazy and I got to ask, why?"
61,"The dittany Lions, they're doing pretty well too and the incredible American Patriots just like you, you are Patriots.",The brothers are tough on a criminal.
62,He's like a hundred yards from the nearest human being.,He's like a broken guitar.
63,"So we're taking in billions and billions but I've got 100 billion dollars and the Secretary General of nate, Stoltenberg, is my biggest fan.",So we're singing in Cancun but I've got 100. 000 songs in my head
64,You focus.,You focus on the road
65,What a Huron loves good for good bad for bad!,What a rush she's rocking me slow
66,"I wo ld like to express my appreciation to lindsey,",I chew my nails and I twiddle my thumbs
67,They want the wall.,They want the shit forever.
68,"Left- wing lawmakers are pushing a government takeover of health care that would strip 180 million Americans of their private health care plans, which many people like.","Left foot, right foot, one- hundred percent pure shit"
69,"We've deported record numbers of gang members, especially the MS- 13 gang members, but there are others that are just as bad.","We've taken a picture of the whole thing, especially the MS- 13 gang."
70,"So nobody's done it, and that's why I think this is going to be the most important of all.","So prove yourself to me,"
71,"He was talking after the baby is born, the doctor will talk to the mother and they'll make the decision as to whether or not that baby lives.","He was talking after the baby is born, the doctor will talk to the mother and they'll make the decision as to blame that baby."
72,You get it because you can't be there.,You get it because you can't be there.
73,"If you can build a building for less money than the guy across the street, and if it's a nicer building and you can rent for less, you're really That's like a good thing.","If you can build a house for less money than the guy can build,"
74,He said it.,He said it hurts daddy to death
75,"In 2016, a state that hillary clinton predicted she would win narrowly came very close to beng won by the other party.",In a abandoned warehouse in Miami
76,"With your help, your devotion and your drive, we are going to keep on working, we are going to keep on fighting, and we are going to keep on winning, winning, winning.","With your telescope eyes, metal teeth"
77,Hopefully you have them.,Lift them pull them from the gardens
78,"A girl's in trouble, and everybody suspects the ex- boyfriend.","A girl's in trouble, and everybody suspects the ex- boyfriend."
79,"We' re no longer the laughingstock that is taken advantage by every country, including our allies who in many cases take advantage more than our enemies.",We're no fool to the love that is stronger.
80,"I managed to keep the united states out of wars, so what happened with north korea? I mean, I have a friendly relationship with kim long- in.","I tried to keep the drama out of sight, so what I ended up with"
81,"So, get your friends, get your family, get your neighbors and your coworkers, and get out and vote.","So yo, get your dance on to my damn song"
82,"And he had a meeting with the leader of hezbollah, during which they discussed matters regarding hillary clinton.",And he had a vision of the ruby sky during which they were riding high.
83,"You know, when I won in the primaries and then I won the election, I was treated horribly by the media, horribly.","You know, when I won in the heat and then I was crying,"
84,She's really done a great job.,She's really got a hold on me
85,"And maybe they'll change, and maybe they won't.","And maybe they'll change, and maybe they won't."
86,"It' s worth mentioning that I am aware of some extremely wicked individuals in regards to this advertisement. In fact, some of the most malevolent people I have over come across can be found among them, particularly those in the real estate development industry in new york. These individuals are without a doubt, the most reprehensible and morally bankrupt individuals I have ever encountered.","It's worth remembering that I'm aware of some extremely strange changes in himself. In fact, some of the problems I have over come can be found among them."
87,"Actually, we are acquiring a generator.","Actually, we are united as a united front."
88,"These guys only fight to tie, they don't fight to win, you fight to win.","These nigga's only fight to believe,"
89,"You saw what happened, right? These Italians formed a little circle.","You saw what they were doing, right? These guys formed a little circle."
90,"I love the phrase, Made in the us.",I love the drugs that sail
91,"In Colorado, they're there three, four days early.","In fact, they're there three, four days early."
92,"According to shat I have heard, the people of crimea would prefer to be with russia rather than where they were.","According to where I have been, the people of the world would belong to me than where they were."
93,"And frankly, you know what it is? The whole country's doing the best.","And still, you know what it's like"
94,"Tomorrow, Kentucky has a chance to send the radical Democrats a message.","Today, Kentucky has a chance to send the message."
95,It's called VA Accountability.,It's called the new 'Pac y'all
96,"Oh, that is frustrating.",Oh baby that ain't nothin'
97,"Instead, we have the beast.",Instead of lookin' for someone to beef with
98,"It is not desired that their viewers see it, but that is alright.",It WOULD HAVE BEEN NOW
99,And they just sold the company.,And they just sold the house
100,"Please refrain from doing so, michigan.",Prevent this beef from buzzin'
101,"The wheel and the wall, you can go back.","The wheels and the shooting, you can go back"
102,Hispanic Americans are the people that are most in favor of what we're doing on the border because they understand it.,White is the sheet on your fine linen bed
103,"Their stance on Israel, it's like a whole different world.","Trying to hate from my mind, it's like a race"
104,"But on the assumption that you love your children, you'll be able to use small farms and your ranches and things.","But on the road, you'll be stuck."
105,"We have have significant progress in neonatal research and are pursuing new advances in caring for america' s youngest patients, our babies. As a result, we have broken all previous records in this area.",We've got the snipers in the dually truck and are looking for us.
106,Now we're counting on the federal court system to make it so that we can actually have an evening where we know who wins.,Now we're down on the road to make it so that we can actually have an accident where we know who won
107,"And by the way, I look out, there's a lot of people that Look at this.","And baby, I look out, there's a lot of people that Look at you"
108,And you see it all the time.,And you see it all the time
109,"And considering that we caught President Obama and sleepy Joe Biden, spying on our campaign, treason, will probably be entitled to another four more years after that.",And hope that we loved P. O with the same love
110,"Her landmark rulings, fierce devotion to justice and her courageous battle against cancer inspire all Americans.","Her oath, her covenant, her blood,"
111,Publisher cannot add style s because the style already exists.,Plus those add style still because the style is better
112,"They don't want tracking, right? They don't want the energy that we know that powers these massive plants because the other stuff is wonderful.","They don't want anyone, right?"
113,"No, think of it.",'Cause enough of your love
114,I don't think that he's going to be the right guy.,I don't think that he's gonna be the right guy.
115,They're so nasty to me today.,They're so laid up on me today.
116,Half a million more Hispanic Americans now own a home.,Ten more minutes now own a home
117,"Last year, for the first time in many years, the price of drugs dropped.","Last June, for the first time in many years, the price of dinner."
118,I'll tell you why.,I'll tell you why
119,"Emolument, nobody ever heard that word, emolument.",Emoluxe class top model. Toiled alone.
120,It will be solid.,It will be solid and then it will be gone.
121,We need to elect a strong Republican majority to end sanctuary cities.,We need to elect a strong legal framework to end sanctuary cities.
122,"And r my administration, we prioritize the interests of the united states, unlike the previous administration.",And rapping to the rhythm of the much fucking beat
123,We've ended it.,"We've ended it, we've finally seen it."
124,The Democrats and Biden would be a disaster for Hispanic Americans.,The horror of the killing and the thrill.
125,Not lying.,"Not lying, not taking nothing."
126,It's a talking point given to these fakers by the Democrats.,It's a talking point given to these members of the military.
127,"Democrats also want to bring in unlimited numbers of foreign refugees from overseas, all at the expense of supporting their own communities.",Dogs of war Soldier of fortune
128,"He's a fighter, he loves this country, he's doing great things for this country, and we got to win this election again, ladies and gentlemen.","He's a kazak, he took this shit,"
129,They can take a perfect phone call made to the Ukrainian president who said very specifically there was no pressure.,They can take a perfect phone call made to the devil who said very soon there was no pressure.
130,"He or she has a few good ones, many mediocre ones.","He or she has a few good ones, many of them."
131,"Your wonderful Republican State Chairman Doug reinhardt, what a job he's doing.",Your goodness knows no bounds
132,Mayor Pete.,Pedal to the flo' with a 808 clap
133,That is the... That is... That is a great idea.,That is the... That is...That is a great idea.
134,The entire American nation is standing by your side.,The whole world is standing by your side
135,And I said something very simple.,And I said something very simple
136,It's going to be a landslide and we have to make it a landslide.,It's going to be a year and we have to make it.
137,We're going to come down to the lowest price anywhere in the world because we did a favored nations clause.,We're gonna come down to the learn price anywhere in the world because we drink a little bit of weed.
138,"As I witnessed the actions of russia and china, I became aware of their activities.",As I approach the precipice
139,"You know, we're here for a short period of time.","You know, we're here for a short time."
140,Who's from Cambridge here please? Cambridge.,Who's from town here please?
141,"In the last few weeks, there have been numerous shooting incidents in chicago that have resulted in the injury or death of 70 people.",In the night it's haunting me
142,They don't think about jobs.,They don't think about me.
143,You can't do anything.,You can't do anything
144,Did you know Kennedy lost in Massachusetts? You know why? Because he wasn't a radical left.,Did you know Joe lost in France?
145,"If hillary clinton were a man, I do not think she would receive 5 of the not. And it is unfortunate that women do not seem to like her.",If living without a lover is living
146,"That's why Because, but Leah, hey look, I'll be honest with you because they have it wrong with the teleprompter, okay? And I would have been in big trouble.","That's why I'm moving on, but baby, I'll be with you because."
147,"And by the way, for those of you with a thing called 401ks, the stock market hit, today, another all- time historic high.","And DAT's, messing up my whole format"
148,I gave them everything.,I gave them everything.
149,I used to go around and talk about how everyone's leaving.,I used to go around and talk about everyone's different
150,I hate to say it.,I hate to say it
151,He really doesn't.,He really really really like you
152,"Once you win, money comes in.","Once you win, money comes in."
153,"I have received a disproportionately negative outcome from this judge' s ruling, who happens to have mexican heritage. I am committed to constructing a barrier as a means of addressing this perceived injustice.",I've taken a picture of the whole thing.
154,"The guy never passed the bill, he did nothing.","The guy never gave the kids, he did nothing."
155,"Half of all border patrol agents are Hispanic Americans, I was just with them.","Amongst all these fuckin' shellfish, I was just with them."
156,It was like this.,"It was like this, it was like that."
157,Right? Just thinking.,Yeah I just thinking of you
158,"China's lost three million jobs, thousands of companies are leaving China, the supply chain is crumbling because they can't pay the tariffs, and our country has taken over things that you would've never thought.",Coupled with a packet of goat's meat and a change of clothes
159,You got to be tough in that job by the way.,You got to be tough in that job by
160,Our president is an employee of Russia.,Our love is an act of love
161,"Thanks to our efforts, we experienced a nationwide decline in drug overdose deaths was year, after 31 consecutive years of increase.","Thanks to our hearts, we remaind a couple programmed in drug- smuggling."
162,"Stop, you prick! That stuff isn't working, prick!","Stop, you prick! That stuff isn't working, prick!"
163,"And in my opinion, if you look at what he's going to do to Medicare, they will destroy Social Security.",And in my life if you look away
164,"I watched the Democrat debates, right? I watched them up there and he was so bad.",I heard the leavin' train.
165,So now I have a choice.,So now I've got a choice
166,We call this a friendly protester because you're not supposed to have political rallies.,We call this a friendly world because you're not gonna have it.
167,"But I go in, I come out a couple of hours later I guess, whatever it is, it's a short time later, I get into the car, the press sees me get into the car.","But I go in the house, I come out a country club, whatever it is,"
168,I just gotta go halfway. The moon's gravity will do the rest.,I just gotta go halfway. The moon's gravity will do the rest.
169,"That reduces water loss, but it also makes them very distasteful.","That reduces water loss, but it also makes them very distasteful."
170,"And to reiterate, medic will be financing the construction of the wall.",And to start to dig each other
171,He's smart.,"He's fairer than lilies of rarest bloom,"
172,"One man who, especially over the last year, he has been so great, he couldn't be better.","One man who, especially over the last year, he has been so great, he couldn't be better."
173,"And Henry, please stand, please.",And instantly miss a beat create a symphony
174,"Politicians often do, but they seem hesitant to implement them.",Taxi! Might even git in a fight.
175,"Go back to south carolina, senators.",Go back to starting ol' Rocky Top
176,He's going to do it.,He's got it goin' on
177,"Biden is always on the wrong side of history, as said by people that are with him and worked with him.","Babe a sky scrappers always on the ground, as said by people that came with him"
178,"So dig in, dig in, dig we must, right? It's all going because of me.","So dig in, dig out, dig in we must,"
179,You've got to get loopholes.,You've got to get better
180,They're thanking people that I never even heard of.,They're somethin' that I never even heard
181,Some of the results are incredible.,Some of the songs are as long as the day.
182,"I was the clear winner of every debt, with perhaps one exception where I sit, l achieved impressive results.","I was the clear head of every table, with maybe one exception where I sit, learn"
183,"But we have three vaccines right now, they're in the final stage, clinical trials.","But we have three hearts right now, they're in the final stage,"
184,"We have a lot leftover, but we will achieve new breakthroughs in science and medicine, finding new cures for childhood cancer, and ending the AIDS epidemic in America.","We have a lot of work to do, but we will."
185,"To stop the far left's campaign of destruction, you must vote Republican.",To stop the far right from seeing you.
186,"I hope you are able to locate the 30, 000 emails that are missing.","I guess you are missing the 30, 000 songs that are missing."
187,I really don't know.,I really don't wanna know
188,That's pretty nice.,That's pretty nice of a lifestyle.
189,"I in tired of the ce of blackstone, a respected corporation.","I in tired of the routine,"
190,There's never been a time where the Republican Party was so unified as it is now.,There's never been a time where the love was so strange as it is now.
191,"Will this bother you as a scientist, I inquired, to go through a ritual like this?","Will this bother you as a scientist, I inquired, to go through a ritual like this?"
192,Look how happy our vets are with choice.,Look how happy our lives are with you
193,"Biden said the other day, well, if the experts told me.","Bitch said the other side of crazy well, if the other guy told me"
194,Finally.,Finally someone has seen the light
195,This is what these guys.,This is what these rocks feel like
196,"And, despite all that we've all gone through.",And dig through all that we've all gone through
197,"You can tell by the lighting, it has a lovely small red light.",You can tell by the way it's a lovely small smile.
198,"And I want to share with you the words, which he chose not to use because they were minima.","And I want to share with you the words, which he changed not to use because they were crying."
199,That's- That's going to stop a lot of it.,That's- That's gonna stop a bleeding brain.
200,"Last weekend, two lot angels sheriff' s deputies were attacked and shot at close range.",Last year two strangers climbed ol' Rocky Top and shot at the top.
201,"So you go back four years, eight years.","So you go back four years, eight for the time"
202,"Please remember, my vocabulary cut off is 021","Please remember, my heart cut off is starting to cry"
203,"And we now have taken 100 of the caliphate, and we have thousands and thousands of ISIS prisoners.","And we now have taken 100 of the outlaws,"
204,"How about the worst one of all, the worst I've ever seen? Standing on a grave of a fallen soldier, and then they had some guy, a source said There's no source.",How about the best shit you see? Standing on a barbed wire fence
205,"He said, I'd really like more money.","He said, I'd really like more money"
206,"Gaze locked on the biscuits, Orson whined longingly.","Gaze locked on the biscuits, Orson whined longingly."
207,"Even if it's true, you don't say that.","Even if it's true, you don't say that it's ok."
208,Now you have a President who is standing up for America and we are standing up for the great people of Ohio.,Now you've got a little boy who is standing up for you
209,"He's going to be leaving office very soon, like in a matter of a day.","He's gonna be sneaking very soon, like in a morning."
210,Okay? No more.,"Okay, no more Highway 51"
211,Lot of guts.,Lot of hustle and strife
212,"Please go out and achieve success, martha.",Played out of style out of rhymes
213,"And I heard from the governor of Texas, great guy, Greg Abbott.","And I moved from the country to the city,"
214,"I assure you, I am satisfied with the current actions and I have a great affection for this country.",I feel my heart beating with yours.
215,"We are so respected, you don't even know how respected.","We are so sad, you don't even know how to say goodbye"
216,"If you were a great athlete and they had a hard time recruiting, although they've done well, if you're a great athlete, you can't we wanted to get them to go, but they didn't because they didn't want to serve five years in the military and then they'd go into the nil or baseball.","If you were a man and they had a hard time,"
217,Carlos Wu's nanotech 'doc had made him too young.,Carlos Wu's nanotech 'doc had made him too young.
218,That's happening.,That's when you turn away
219,"In fact, this is just one of many such stories,","In fact, this is just one of many such stories,"
220,He was under a lot of pressure and he ended up winning by like 18 points.,He was under a spell and he ended up winning by like 18 points.
221,When we close the border.,When we dance in the streets
222,They know that.,They know that I'm waiting
223,"Altogether, the nations of Europe have experienced a 30 greater increase in excess mortality than the United States.",Annie waits as the last
224,"However, honor lamb was actively engaging and taking action when he should' t have.",Apart in pink and perfect moments play
225,Democrats have never been farther outside the mainstream.,Deluxe class top model. Toiled alone.
226,The snake.,The snake runnin' man in the walk
227,"In the psst, it was important that news broadcasts were accurate and properly licensed.",In the '70s it was important that heaven was seen.
228,It's a good sign.,It's a good sign of a good time.
229,"In the next decade, 140 million Indian households will rise to the middle class.","In the next ten years, heaven will rise to the middle class."
