,A (source),B (generated)
0,"These individuals have become extremely co, d and mentally unstable.",These wise men have heard me hence.
1,"Charter Steel announced plans to build a new 150 million steel mill in Cuyahoga Heights, and Cleveland Cliffs announced a new 700 million plant in a very good place that I like a lot, Toledo.","Charter, sir, build a new staves' end in Cappadocia philadelphia."
2,But I'm tired of talking about this 10 months before the election.,But I'm tired of talking about this 10 months before the holidays.
3,He's going to do it.,He's going to Petrarch's numbers.
4,I would find a way around the flame forests if necessary.,I would find a way around the flame forests if necessary.
5,"China's lost three million jobs, thousands of companies are leaving China, the supply chain is crumbling because they can't pay the tariffs, and our country has taken over things that you would've never thought.","Caesar's lost three thousand ducats, and Lepidus is dead."
6,"No, think of it.","No, think not so."
7,"Oh, that is frustrating.","Oh, that is covetousness!"
8,He really doesn't.,He really doesn't.
9,"I mean, they said that they'd never seen anything like it.","I mean, they said that they'd never seen 't."
10,I went to Maine.,I went to thee.
11,They can take a perfect phone call made to the Ukrainian president who said very specifically there was no pressure.,They can take a bloody napkin made to the youth that said very wisely there was no man.
12,We say that's not working because we're going up and he's dropping like a rock in water.,We say that's not working because we're going up and he's dropping like a rock in water.
13,That's- That's going to stop a lot of it.,That's- That's going to stop a lot of people.
14,"And by the way, I look out, there's a lot of people that Look at this.","And by the same eye, I look out, there's a man that Look out."
15,What a Huron loves good for good bad for bad!,"What, thou hast good reason for good life!"
16,They know that.,Know'st thou that?
17,"Where did that come from? She's conducted outrageous attacks against men and women of law enforcement, she compared American border agents managing a humanitarian crisis, that I always said was a humanitarian crisis, and they said it was manufactured.",Wherefore?
18,Three.,Three.
19,Who's from Cambridge here please? Cambridge.,Who's from Rome here please?
20,"Left- wing lawmakers are pushing a government takeover of health care that would strip 180 million Americans of their private health care plans, which many people like.","Thou art a fool, sir, that would marry me."
21,"In fact, this is just one of many such stories,","In my case, this is just one of many such kisses,"
22,The snake.,The worm's an odd worm.
23,"Have you heard 4hat? With thousands of hardworking americans who love our country, cherish our values, respect our laws and always put america first.",Have you heard him?
24,"I was the clear winner of every debt, with perhaps one exception where I sit, l achieved impressive results.","I was the clear eye of every eye, With perhaps one eye where I sit, learning all."
25,That was not a good thing for them to say.,That was not a good thing for them to say.
26,"The wheel and the wall, you can go back.",The fool and the fool can go back.
27,"The people of america will ultimately prevail, as they always do.","The death of Antony Will become him, as they always do."
28,"We're now the largest energy producer in the entire world, bigger than Soviet Union, formerly.","We're now the size of the world, Smarting more than ever than ever we were before, which now import their dangers."
29,5 billion people and we have 350 so he should be number one.,Fetch thy master home and I have heard him so he should be number one.
30,"I recently visited the program and had the opportunity to meet some of the pilots. I was impressed by their physical appearance, as they ere more handsome then tom cruise.",I came to the tomb and had the chance to meet thee there.
31,"Yes, but this time... Whether it's raining or not, you mustn't ever look at it.","Yes, but this time... Whether it's raining or not, you mustn't ever look at it."
32,"That was terrible, right.","That was ordered, right?"
33,Can you believe that? It's true? It's a true story.,Can you read that?
34,"Saved trillions and trillions of dollars that was put in there to hurt us, in my opinion.","Saw'st thou that was put in there to marry us, in my bosom?"
35,So now I have a choice.,So now I have a base.
36,"No, I'm only kidding.","No, I'm only kidding."
