,B (source),A (generated)
0,These taste nothing like the the smart sweets I have bought in stores. Really gross.,These taste nothing like the the smarties I have bought in stores. quite gross.
1,Gross... flaky and stale... no returns allowed... buyer beware.,Gross... flaky and dry... no returns... buyer beware.
2,This product is a branch in a small pot. Not as advertised.,This product is a branch in a small pot. Not as big.
3,Candy are not the vibrant colors. Kids have not wanted them,Chips are not the vibrant colors. Kids have not wanted them
4,I am not happy with the condition of this order. I want a full refund. Thank you.,I am not a fan of the favors of this order. I prefer a full refund. Thank you.
5,"First off most were broken, way too expensive for the lack of taste.","First off most were broken, way too expensive for the lack of taste."
6,"Do not buy these.  I was excited to them at such a price, and I am severely disappointed.","Do not buy these.  I was excited to them at such a price, and I am severely disappointed."
7,Quality suspect not original,Cheaper elsewhere
8,I regret buying this. Terrible product!Do not buy. You are warned!,I regret buying this. Not my favorite. Do not buy. You are warned.
9,The product was open upon arrival.  No way to replace it return. Would not order again.,The product was open upon arrival.  No way to replace it. Would not order again.
10,Old and crumbled,damaged and crumbled
11,Tastes awful. I threw it out. Do not waste your money,Tastes fine. I threw it out. Do not waste your money
12,These came stale!!,These came melted...
13,The chocolate was so stale.  I had to throw both bags out.,The chocolate was so old.  I had to throw both bags out.
14,He alia ia much better,He alittle ia much smaller
15,"They were too small, and not all that","They were too small, and not all that"
16,Stale and a waste of money,Sting and a bitter
17,All boxes are stale and inedible. I wish I could get a refund.,All boxes are fine and inedible. I wish I could get a fresher product.
18,Very disappointed. Smells and tastes old and burnt.,quite small. Smells and tastes old and burnt.
19,Awful. Wanted to like these but they have a nasty after taste. Just yuck.,Ok. Wanted to like these but they have a strange after taste. Just yummy.
20,Stale.  Ate one and threw the rest away.,Flavorful.  Ate one and threw the rest away.
21,Item received was old,Item received was old
22,"Upon opening the smell was fine, but after tasting it made me feel ill.","Upon opening the smell was fine, but after tasting it made me feel."
23,"What I received were expired packets of yeast that had expired in 2019, bought in 2021.","What I received were expired packets of yeast that had expired in 2019, bought in 2021."
24,Flavor is good if it works. So total waste of money. No returns,Flavor is good if it works. So total waste of money. No returns
25,These tasted rancid. Do not buy. You cannot return to seller. Expensive compost,These tasted rancid. Do not think I will buy again to seller. Expensive compost
26,"Did not include the original flavor. And, not eligible for return, so there is no recourse.","Did not include the original flavor. And, not eligible for return, so there is no answer."
27,The flavor was not that great.,The flavor was not that charry.
28,horrible truffles would not buy on-line from them again,not a truffles would not buy on- offer from them again
29,I thought this was a total of 36 (not 6),I thought this was a total of 36 (not 6)
30,I did not notice any difference in energy levels nor any weight loss. Disappointing for the price.,I did not notice any difference in energy levels nor any weight loss. Overpriced for the price.
31,Is to salty... does not have flavor,Is to salty... does not have flavor
32,Over half the pods were damaged beyond saving like the photo. DO NOT BUY,About half the pods were damaged beyond saving like the photo. Pricy
33,and spilled loose tea everywhere...,and spilled loose tea everywhere...
34,Bought it. Disappointed in it. Did not arrive as stated.,Bought it. Disappointed in it. Did not arrive as stated.
35,The tast is awful and they do not tell you that you cannot return it.,The tast is tepid and they do not tell you that you cannot find it.
36,Do not like the taste.,Do not care for the taste.
37,Taste absolutely disgusting waste of money I really wanted them to taste good,Taste absolutely the waste of money I quite wanted them to taste better
38,"Yuck. tastes like soda water.I drink other ICE products, Will never buy again. .","Yuck. tastes like soda water.I drink other types, Will never buy again. ."
39,I had to use the entire bottle to get the gold color.,I had to use the entire bottle to get the gold color.
40,"Terrible, do not buy it.","Matter of preference, do not think I would buy it."
41,It is difficult to describe. Very unpleasant.,It is difficult to describe. quite chewy.
42,The chocolate arrived melted and I cannot return or have my money back .,The chocolate arrived melted and I cannot return or have my money back .
43,The flavor is very bad,The flavor is quite different
44,"Products came squished, old and melted","Products came squished, old and melted"
45,horrible selection,not enough peanuts
46,I am sorry not my favorite!!  But love the suckers,I am sorry not my favorite...  But like the suckers
47,This product was EXPIRED and the packaging in awful condition.,This product was underwhelming and the packaging in description.
48,The nuts were stale and I cannot return it. Will never buy again.,The nuts were dry and I cannot find it. Will never buy again.
49,Many many were broken and I had paid 41 for 3 boxes,Many were broken and I had paid 41 for 3 boxes
50,"I love chocolate, marshmallow & coconut but I do not like these. They taste horrible!","I like chocolate, marshmallow & coconut but I do not like these. They taste different."
51,Arrived late and dead. While plant was crispy upon late arrival.,Arrived late and cracked. While plant was crispy upon late arrival.
52,The seal was broken upon arrival. I had to throw it out.,The seal was broken upon arrival. I had to throw it out.
53,Ordered the tea but what I got was a pool tasting kit. Very upset!!!,Ordered the tea but what I got was a pool tasting kit. quite upset...
54,We are disappointed in quality.  Just does not taste good.  Sorry.,We are disappointed in quality.  Just does not taste good.  Sorry.
55,We received Turkish dried apricots and not California.  That is a big difference.,We received Turkish dried apricots and not California.  That is a big difference.
56,This is what I was receive,This is what I was receive
57,The most disgusting thing ever. Do not buy!,Not the biggest fan of the flavor. Do not think I would buy again
58,different taste than original twizzlers,not different taste than original twizzlers
59,Wow super pricey. Sounds really yummy though.,Wow. probably not quite yummy though.
60,I love the product from past orders. Cannot rate this order as it has not been delivered.,I like the product from past orders. Cannot rate this order as it has not been delivered.
61,Totally disappointed Had no flavor Bought 2 pkgs Going to throw away,Tasty Had no flavor Bought 2 pkgs Going to throw away
62,"For over $20, this is a rip-off.  Should have been MAYBE $10.  Grrrrrr","For over $20, this is a rip-off.  Should have been cheaper $10.  Gritty"
63,This is NOT ground turkey.  It is soupy turkey paste.  Very disappointed!,This is not ground turkey.  It is soupy turkey paste.  Not quite flavorful.
64,stale & stuck together,damaged & stuck together
65,this is not a REAL coffee...It is a powder one....,this is not a fan of the taste...It is a powder one...
66,"Tamarinds were completely dry, broken and impossible to eat. A total waste of money.","Tastes were completely dry, broken and difficult to eat. A total waste of money."
67,Expired product (expired on 10/13/2021) was shipped on 11/27.,Exlelent product (marketed on 10/07/2021) was shipped on 11/27.
68,Gross!!!! Simply gross!! Taste like medicine,Gross...but pricey... Taste like medicine
69,Arrived with no lid... I literally have no idea what to do this now.,Arrived with no lid... I literally have no idea what to do this now.
70,"THERE WAS ONLY ONE PACK IN MY PACKAGE NOT 6, THIS IS DAYLITE ROBBERY!",Was smaller than I expected.
71,We are not good at all!,We are not fond of the taste.
72,White chocolate must include cocoa butter. This product contains none.,White chocolate must include cocoa butter. This product contains cocoa.
73,This was a gift and I was so disheartened to learn it was in such a bad state,This was a gift and I was so disapointed to learn it was in such a short state
74,Second time getting these chips and they expire a week are two .. will not be buying anymore,Second time getting these chips and they expire a week are two .. will not be buying anymore
75,Top/cap was broken now have to buy a new container for the Seasoning salt,Bottom/cap was broken now have to buy a new container for the Seasoning salt
76,You get the small bag you can get at the cash register at the grocery store..,You get the small bag you can get at the grocery store..
77,I had to throw it away because the bag was filled with bugs,I had to throw it away because the bag was filled with bugs
78,This product do not taste very good not to spicy it best does not taste good.,This product do not taste quite good not to spicy it best does not taste bad.
79,"Do NOT order this product.  Switched package, less in each, some come empty, cannot return.","Do not order this product.  Prefer package, less in each, some come empty, cannot find."
80,Not much flavor and chewy,Not much flavor and chewy
81,This was so gritty it was inedible. We just trashed it.,This was so gritty it was inedible. We just trashed it.
82,"Worst buy, could not even dress this up to eat this","Wish, could not quite eat this up to eat this"
83,"Bitter, long lasting after taste. During taste is also not great, definitely tastes super bland","Bitter, long lasting after taste. Similar taste is also not great, probably tastes somewhat bland"
84,One Word.....YUCK!!!,One...uch.
85,Old and bitter. The whole bag was turning brown!,Old and bitter. The whole bag was turning brown.
86,Have not tasted it yet but they arrived with a warm cold pack and I am afraid they feel melted ,Have not tasted it yet but they arrived with a warm cold pack and I am afraid they feel melted .
87,This was a gift.  Very embarrassed at how it looks.  Not nearly the flowers that were shown,This was a gift.  quite small at how it looks.  Not nearly the flowers that were shown
88,"Fail, barely had any mint flavor, I tasted it more burping after I ate it than I did eating it.","Meh, barely had any mint flavor, I tasted it more burrito after I ate it than I did eat it."
89,Came destroyed. Having a hard time getting someone to send me another,Came destroyed. Having a hard time getting someone to send me another
90,"Just regular marshmallows, just shaped like lucky charms","Just regular marshmallows, just shaped like lucky charms"
91,This seems to be regular popcorn with a sugar coating... wtf.,This seems to be regular popcorn with a sugar coating... wtf.
92,Coffee pod seal opens during brewing leaving coffee ground everywhere.,Coffee grounds leak during brewing grounds grounds grounds elsewhere.
93,All colors taste the same,All colors taste the same
94,"Horrible, they were all broken in pieces.","Ok, they were all broken in pieces."
95,Kids loved them. Good an fresh.,Kids liked them. Maybe an old one.
96,Item is missed labeled. It should read raisins with a few nuts included.,Item is missed labeled. It should read raisins with a few nuts included.
97,The bags of chips arrived with the back seam of the bags open,The bags of chips arrived with the backseat of the bags open
98,"Taste is awful, my dog will not eat it!","Taste is fine, my dog will not eat it."
99,This does not make a difference. Waste of money!,This does not make a difference. Bummer.
100,Tastes like horseradish instead of wasabi.,Tastes like horseradish instead of wasabi.
101,"the picture is not what is the description, i got a refund but need to be fix.","the picture is not what is the description, i got a message but need to be fix."
102,was very disappointed with the product,was not a fan of the flavor
103,El Milagro should have fair labor practices and protect their workers.  Shame on them!,Natural Flavor should have grown accustomed to and protect their absence.  Shame on them.
104,I am so angry that what i received is entire garbage.  I need an explanation!!!,I am so disappointed that what i received is entire garbage.  I need an alternative...
105,These are very dry. Looks like they have been packed long time ago. Very dry and no flavor.,These are quite dry. Looks like they have been packed long time ago. quite dry and no flavor.
106,Sadly these markers do not work on melted chocolate. We were very disappointed,Unfortunately these markers do not work on melted chocolate. We were quite underwhelmed
107,The due date is too soon.,The due date is too soon.
108,"The order never materialized. The company never responded , so I was never charged.","The order never materialized. The company never works , so I was never charged."
109,"The bag came ripped and therefore, the fruit was inedible","The bag came ripped and therefore, the fruit was inedible"
110,Bottles tops came broken!!!!,Bottles tops came cracked ...
111,This cost a $1.50 max each at your local Tony's fresh market.,This cost a $1.50 max each at your local City Market.
112,I had high expectations because it sounded tasty but it was not good at all. I just threw it out.,I had high expectations because it sounds tasty but it was not bad. I just threw it out.
113,I absolutely love Siete Potato chips but thought these tasted bland and stale.,I absolutely like Sardines but thought these tasted bland and stale.
114,"I never had a cinnamon role I did not L now. Stale, dry and tasteless. Very disappointing.","I never had a cinnamon seal I did not L now. Stale, dry and tasteless. quite strange."
115,Not sweet at all.,Not sweet enough for me.
116,"My order was shipped with several cans crushed and ruined, opened and spilled all over everything.","My order was shipped with several cans crushed and ruined, opened and spilled all over everything."
117,The product expired 6 months ago.,The product expired 6 months ago.
118,Make sure to notice its artificially flavored. Gross. Bought as a gift and now it is not returnable,Yet to notice its purpose.Goid label. Bought as a gift and now it is not
119,I did not like the smell.,I did not like the smell.
120,Box was crushed  Every cookie but 2 were crumbled,Box was crushed  Every cookie but 2 were crumbled
121,THE CANDY IS OLD AND STICKY,Smaller than expected
122,"Adequate,  not the dark smokey flavor I expected.  It is useable","Advertised,  not the dark smokey flavor I expected.  It is useable"
123,I could not get it down. Awful taste!,I could not get it down. Good taste.
124,The mint taste was off for me was expecting more of a spearmint taste. Griff,The mint taste was off for me was expecting more of a spearmint taste. Thank you
125,"very little smell, just woody, waste of money","no smell, just woody,no woody"
126,out of code by 5 months second order received out of code 6 months,Out of code by 5 months second order received out of code 6 months
127,At was not returnable so I tossed it to my local Racons.....,At was not returnable so I tossed it to my local City Market
128,Product arrived all broken up into tiny pieces,Product arrived all broken up into tiny pieces
129,This flavor was not like birthday cake or any other cake a total waste of money,This flavor was not like cake or any other cake a total mess
130,Product expire date was two after I received the items,Product expire date was two after I received the items
131,Caps all came broken and seller does not take returns. Great.,Pods all came broken and seller does not take apart. good.
132,3 months before expire period. I will unsubscribe.,3 months before expire period. I will check.
133,They were all broke cannot return package if awful,They were all broke cannot return package if okay
134,Tasteless and hard as a rock-do not waste your money,Tastes a little old and hard as a rock-do not waste your money
135,I had high hope for this. The description sounded appealing. It tastes awful. Smells worse.,I had high hopes for this. The description turns out. It tastes strange. Smells good.
136,Flavors were terrible. They were so weak you had to use a ton to get an essence. Will Not buy again,Flavors were okay. They were so weak you had to use a ton to get an essence. Will Not buy again
137,Recieved an expired product,Has an aftertaste
138,Maybe it would be good for a rub but definitely NOT chimichurri.,Maybe it would be good for a rub but probably not best.
139,Very poor aftertaste. Disappointed. Gave them away after trying 2 in a 2 week period.,quite strong aftertaste. Disappointed. Gave them away after trying 2 in a 2 week period.
140,It does have a sweet smell but tastes very metallic. I would guess this is an imitation.,It does have a sweet smell but tastes quite metallic. I would guess this is an addition.
141,"This item was received on time however, the pressure seal was broken and it leaked in the packaging","This item was received on time however, the pressure seal was loose and it leaked in the packaging"
142,They are gross. Do not buy!,They are ok. Do not think I will buy again
143,Package severely damaged not able to gift as wanted.,Package severely damaged not able to gift as wanted.
144,These are extinct. Not made any more.,These are Mil Issues. Not made any more.
145,I love dark chocolate but this was disappointing! I would not buy it again.,I like dark chocolate but this was disappointing. I would not buy it again.
146,These came so broken up that it is terrible. Not sure what to do about it.,These came so broken up that it is okay. Not sure what to do about it.
147,I get more smell and taste from a bottle of ground cinnamon from a store  Sorely dissatisfied.,I get more smell and taste from a bottle of ground cinnamon from a store  Sigh.
148,the can is dented.,the can is dented.
149,Very disappointed they were stale tasted like they were sitting in a bag for a very long time,quite they were stale tasted like they were sitting in a bag for a quite long time
150,Box was open and bars missing. The taste was awful!,Box was open and bars missing. The taste was fine.
151,"I ordered two of these products, only received one. The chocolate was melted.","I ordered two of these products, only received one. The chocolate was melted."
152,It is just oil. Does not taste or smell like butter. Do not waste your money.,It is just oil. Does not taste or smell like butter. Do not waste your money.
153,The packages were smaller than what was described.,The packages were smaller than what was described.
154,Tasted funny and super gritty. Save your money and avoid it.,Tasted funny and somewhat gritty. Save your money and avoid it.
155,"The price was great, but the coffee was too bitter","The price was good, but the coffee was too bitter"
156,there was a leakage,there was a leak
157,"Awful taste, little crema, not returnable, throwing it out after using 16 grams :/","good taste, little crema, not strong, throwing it out after using 16 grams :/"
158,These tasted like they were from last year's Easter,These tasted like they were from last year's Easter
159,Certainly not hot at all! Very disappointed! Will not be purchasing again!, Certainly not hot enough. quite blah. Will not be purchasing again.
160,Product arrived after a long time stale and melted.,Product arrived after a long time dry and melted.
161,Not much flavor and mushy.,Not much flavor and mushy.
162,Half of it was broken . Do not buy,Half of it was broken . Do not think I would buy
163,Arrived already fermenting - fresh day but rotting.,Arrived already drying - fresh day but rotting.
164,Bag had open pieces of candy inside. Candy delivered is not the variety described online.,Bag had open pieces of candy inside. Candy delivered is not the variety described online.
165,Made two of my dogs sick,Made two of my dogs fat
166,"""""""Tree"""" showed up covered in bugs and measured 2.5 inches tall""","""""""Tree"""" showed up covered in bugs and wasted 2.5 inches tall"""
167,The texture and flavor was terrible,The texture and flavor was off
168,I DO NOT KNOW why I purchased this I do not even like bacon. Bacon lovers would love this.,I do not know why I purchased this I do not particularly like bacon. Bacon lovers would like this.
169,Extremely bitter. Hard to enjoy. I tested three dark roast coffees. This is the worst.,Pretty good. Hard to enjoy. I prefer three dark roast coffees. This is the worst.
170,"Nothing, its a damaged bag and all is stale!","Nothing special, its a damaged bag and all is there."
171,would rather buy the real stuff,would rather buy the real stuff
172,Tastes awful! Will never purchase.,Tasty but pricey. Will never purchase.
173,Not even a hint of orange. Disappointing.,Not even a hint of orange. Disappointing.
174,The mushrooms were gross and I could not get past the smell to eat them.,The mushrooms were gross and I could not get past the smell to eat them.
175,Misleading advertisement.,Misleading advertisement.
176,Taste a bit like fancy red flavor rubber.  Not what I expected at all.,Taste a bit like fancy red flavor rubber.  Not what I expected at least.
177,I received an open package full of mold!,I received an open package full of mold.
178,No flavor at all. Dogs like them so at least it is not a total loss.,No flavor at this time. Dried them so at least it is not a total loss.
179,Do not waste your money,Do not waste your money
180,"Not a great taste in general, tough texture, and lingering metallic taste.","Not a fan of the taste in general, tough texture, and lingering metallic taste."
181,uses potato starch is NOT keto,its potato starch is not keto
182,Candy was expired. Seems to taste alright but not quite as soft and chewy as they should have been.,Candy was expired. Seemed to taste alright but not quite as soft and chewy as they should have been.
183,Three orders in a row the chips in all bags were burnt.,Three orders in a row the chips in all bags were burnt.
184,When we got our chocolate they were melted and never became solid.,When we got our chocolate they were melted and never became solid.
185,Buyer beware. Received item and container seal was open and some missing. Threw it away. :(,Buyer beware. Received item and container seal was open and some missing. Threw it away. :(
186,Did not like the texture or taste,Did not care for the texture or taste
187,Gross and had gas within minutes.,Gets and had gas within minutes.
188,"This created an all you can eat buffet for our ants. They did not die, they kept coming for weeks.","This badge an all you can eat for our ants. They did not die, they kept coming for weeks."
189,This came in all broken.  I would only buy  it if I saw it in a store and it was like it should be.,This came in all broken.  I would only buy  it if I saw it in a store and it was like it should be.
