text,label
"The ground was not fine enough for me.
",negative
"Candy stuck together and some melted.
",negative
"It was excellent, as always, but the price was much higher than what is charged by SAM's or Target.
",negative
"Was not fresh Not smell fresh I do not have trust accept through it away
",negative
"Not supreme as advertised very disappointed as they were to be for my 90 year aunt birthday
",negative
"Did not receive the brand name candy- a ton of filler crappy candy. Just sent it back
",negative
"Bought 2 for a gift and they are totally destroyed
",negative
"2 boxes received not 36. As others have stated it is a scam.
",negative
"I would not recommend this, they do not look or smell good
",negative
"Had to keep seasoning to taste. NO FLAVOR AT ALL. YUCK.
",negative
"This coffee is a rip off.  It smelled bad while brewing and tasted worse when trying to drink it.
",negative
"Disliked. Tasted stale. Will not buy again.
",negative
"The drink has a lot of caffeine but it tastes horrible.
",negative
"this popcorn had absolutely no flavor
",negative
"Way expensive and texture was horrible.
",negative
"Tasted awful! I threw it away
",negative
"Tastes flavorless and burnt
",negative
"this stuff has so much grease its like a watery soup. do not waste your money on it.
",negative
"This product arrived with no seal at all and had a bitter smell! It is in the trash now- DO NOT BUY
",negative
"Something was wrong or spoiled with my order. They made me sick the three times I tried them.
",negative
"Mine came in a bag by itself and most of them are crumbled I am not pleased
",negative
"It smells like a fish.. I could taste sand too. Completely do not recommend it.
",negative
"tiny little dried up pieces.  could not even taste.  hardly anything in the bags.  total rip off
",negative
"Artificial flavors in the ingredients. Very disappointing.
",negative
"*** WARNING *** This contains EGGS. This is NOT Plant Based.
",negative
"Bag was opened all the way  Looked like half the bag was open
",negative
"The licorice was extremely stale - very hard  and tough to chew!  Threw them away!  What a waste!
",negative
"""Full of fat and left over pieces from their """"Skinning"""" process.. Which was hidden under the meat.""
",negative
"Came Totally damaged and was going to be a gift so I am Pretty disappointed
",negative
"What I received was not tamarind paste at all, but liquid tamarind juice concentrate.
",negative
"In the comments, one pack is described as one carton.  It is ONE PACKAGE.
",negative
"The item description says pack of 3. I only received one individual packet.
",negative
"BY FAR THE WORST HONEY EVERY, impossible to squeeze out, and cap does not twist off.
",negative
"Not what I expected
",negative
"This taste horrible. I have tried few flavors by this brand and all of the them taste bad.
",negative
"One of the worst I have ever tried. Never buy cheap again
",negative
"This item was expired. And I cannot return it. Very unhappy!
",negative
"Do not worry it will not happen again, so cover the review up so no one see it.
",negative
"This is so stale you cannot even chew it thru it all in the garbage
",negative
"Should not be this much expensive
",negative
"i expected it to taste more like a dill pickle and it did not.
",negative
"SUGAR COATED, SUGARY GUM, STICKS TO YOUR TEETH.  HORRIBLE AND NON RETURNABLE.
",negative
"The bag I received once opened look like a moss instead of a tea. Almost looked synthetic.
",negative
"It was not in the box
",negative
"I got a bag of chips insted
",negative
"I would love to eat this, but. Expiration date OVER a year ago
",negative
"It was stale.  Wasted my money
",negative
"Its basically just vinegar .....
",negative
"Jar arrived open and leaking all over the box. Had to discard immediately.
",negative
"They tasted like rancid cookies.
",negative
"Not What I expected
",negative
"Good coffee/wrong flavor
",negative
"Does not work with chocolate like advertised. I wish I saw the reviews before I received them.
",negative
"Very disappointed. The chocolates were powdery, some were unwrapped and or broken up.
",negative
"Dislike the flavor I do not ordered anymore of these
",negative
"Major disappointment in this coffee!! Will never buy again Crazy Cups
",negative
"The candy does not have a strong flavor at all. It was rather bland.
",negative
"Beans were oily, not great flavor. I did not care for this roast.
",negative
"Dry as a desert. Have bought better in the frozen food aisle.
",negative
"Love the coffee, but money down the drain!  NONE of these worked in the 2.0 Keurig!
",negative
"I thought I would like them because I like lime flavor, but these are not very good to me.
",negative
"Dry, stale, mediocre...
",negative
"When I received my Pringles chips they were all crumbled in their containers
",negative
"The soybean is too old,it is about over year old
",negative
"Cannot even use it. Yeast extract is MESSAGE.
",negative
"Was not as smooth as I expected and could not return it...not happy at all.
",negative
"Bag was completely melted into a big glog
",negative
"It is not giftable and flavors  are not completely accurate as described on website
",negative
"I favor was horrible
",negative
"arrived today - puffed wheat was stale not fresh - wwill not be able to eat
",negative
"Unable to use in my machine
",negative
"Got 1 lemon & 1 orange for gifts. These taste great but the lemon was dry & crumbly. No good
",negative
"Do not waste your money
",negative
"""Ordered Sumatran Reserve! Got Newman""""s Own! Easy way to get rid of overstock.""
",negative
"The chocolate and matcha are better. This was very tart
",negative
"I bought this as a gift for a child and The mushrooms did not grow .
",negative
"The food I bought .was out of date in a week
",negative
"Ordered peanut butter crackers. Got cheddar cheese.
",negative
"Not really low carb. Doing Keto and this is not really good for Keto.
",negative
"This item did not spray at all. I could not even use it and they will not refund me or let me return:(
",negative
"Arrived totally melted
",negative
"will not order again, every piece was broken
",negative
"I will not recommended to nobody
",negative
"I honestly did not like this tea, not for me may be for someone else.
",negative
"item was gross and to edible to eat my daughter throw up
",negative
"This product is dry and tasteless. Do not bother... too expensive too!
",negative
"Product was expired by three months.
",negative
"There was a super weird chemical taste to these. Had to throw them all out.
",negative
"It definitely had the taste of spoiled lemons, it was not good.
",negative
"Tasteless. Like eating styrofoam.
",negative
"As the other reviews point out - the new formula tastes like chemicals and stale cardboard
",negative
"arrived broken  unusable  no return or replace no one at home to talk about this
",negative
"Did not enjoy it,was pretty plane tasting.Used to Britt Coffee,this does not come close
",negative
"Tasted like cold medicine with perfume . My whole family hates the flavor.
",negative
"The candy arrived melted and congealed to the container. Completely inedible.
",negative
"What a sticky mess!  Wrappers writing stuck to the bag they were shipped in.
",negative
"The package arrived with two small holes in it
",negative
"Tastes awful! Did they dump the whole jar of Stevia in it? Cannot return it either.
",negative
"It was way different from the other Betapac I have use just did not like
",negative
"Poor after taste... stays with you for a few mins, need to wash it down with water
",negative
"It is not compatible. Waste of money.
",negative
"Weird, artificial taste. Not a fan.
",negative
"I was under the impression that I was getting whole wheat bucatini noodles
",negative
"Several of the bites were hard and the package was sealed.
",negative
"Hard as a rock to chew
",negative
"Waist of money.  Do not buy.
",negative
"Never again. Not worth money paid. Very disappointing.
",negative
"Worst candied ginger we have had.
",negative
"Did not work on my bottles
",negative
"It tasted artificial and was too thick.  Just not for me.  I gave it to someone who likes it okay.
",negative
"These sticks smell like soap...not cinnamon.
",negative
"Box arrived smashed...like....corners busted smashed.
",negative
"Not worth trying. I trashed it away after trying the 1st pack...
",negative
"I was expecting a lot more popcorn Disappointed
",negative
"These was the worse flowers I ever seen
",negative
"These are circle breads, not bagels. Go to new York. Eat a real bagel. These are terrible.
",negative
"Such a mistake that I tride with this banana flavoring. I will never try this again!
",negative
"I would tell you more, but I do not want to get a law suit against me. But do not buy this... crap!
",negative
"Out of date and taste bad.
",negative
"The bag was already partially opened, so we did not eat them.  Threw them away!
",negative
"Item was open when it arrived.
",negative
"Very watery - lacked flavor - could not give away to friends
",negative
"There were warms in the nuts. Terrible staff.
",negative
