,B (source),A (generated)
0,"The consequence is, then, thy jealous fits Have scared thy husband from the use of wits.","The  issue is, then, their actions have resulted in the death of many individuals from the previous administration."
1,That face of his I do remember well.,That face of his I do remember well.
2,"Ay, marry, what is he?","Syria, what is this all about? It' s all about giving around 1"
3,"Nay, an you be so tardy, come no more in my sight.","Nb turned out to be so bad, come no more in our country."
4,"But these offers, Which serve not for his vantage, he shakes off, And so should you.","But these radical left politicians, who advocate for sanctuary cities, they want to raid Medicare to fund healthcare for illegal immigrants"
5,"But seven years since, in siracusa, boy, Thou know'st we parted.","But seven years since, in november, boy oh boy, did we lose."
6,"Do not break off so, For we may pity though not pardon thee.","Do not break down soNe, for we may become the greatest nation in the world."
7,"Dispatch., O love, That thou couldst see my wars today, and knew'st The royal occupation!","Democrats want to raid Medicare to fund healthcare for illegal immigrants who see our factories down today, and Republicans want"
8,Speak softly.,Representative Lloyd pesos.
9,But to read his right wits is to read thus.,But to read his right sentence is to read something.
10,You're going to the church.,You're going to the hospital.
11,Never talk to me.,Never talk to me.
12,"Master, go on, and I will follow thee To the last gasp, with truth and loyalty.","They will go on, and we will follow them up to the last week, with those and thousands of people joining us."
13,"Besides, his cote, his flocks, and bounds of feed Are now on sale, and at our sheepcote now, By reason of his absence, there is nothing That you will feed on.","Besides, his son, his grandfather, and many of his friends are now on sale, and at a significant cost to our "
14,"To answer by the method, in the first of his heart.","To answer by the method, in the first of his opinion."
15,"My lord, I have news to tell you.","My friend, I have news to tell you."
16,Would he not be a comfort to our travel?,"Wouldn't he be a great gift to our nation? Perhaps you' we notice that when you fill up your gas tank, the "
17,"Oh, my lord, what tongue will you smooth my name when I'm your wife?","Oh, my, what happens will you hear my name when I'm your president?"
18,"So., Thus then, thou most renowned Caesar entreats Not to consider in what case thou stand'st, Further than he is Caesar.","So, er president Obama wants the most extreme left- wing ever to consider in what case happened, which would be the most"
19,"Blood, do you think I am easier to be played on than a pipe?","Blood, do you think I am bigger to be played on than a football? I don't think so."
20,"Gracious Olivia, What do you say, scenario?, Good my lord, My lord would speak.","Globalist, what do you say, radical left? I say it against the fake news, because you know what they're going to say."
21,Best you safe the bringer Out of the host.,"Best you've ever done, the bringer out of corn."
22,"I have heard of some kind of men that put quarrels purposely on others, to taste their valor.","I have some kind of people that put drones flying around on television, to hurt their composure."
23,"They'll never make the green kilometer, will they?","They'll never make the green  washingmeter, will they?"
24,"Well, I'm hoping he's not going to be the only one.","Well, I'm saying he's not going to be the only one."
25,"Yet if you there Did practice on my state, your being in Egypt Might be my question.","Yet if you there Did practice on my opinion, your being in New Hampshire Might be my honor."
26,"Here comes the man, sir, that did rescue me.","Here' s the man, donald jr., that did' t win."
27,I can write very like my lady your niece on a forgotten matter we can hardly make distinction of our hands.,I can write very like my governor on a matter because we can't make america great again.
28,"He was not merry, Which seemed to tell them his remembrance lay In Egypt with his joy, but between both.","He was not intelligent enough, which evidenced to tell them his presence was wo ldening, but between somet"
29,I will weary you then no longer with idle talking.,I will inform you then no longer with idle talking.
30,"It's your first time at a school like this, right?","It's your first time at a school like this, right?"
31,"If this were played upon a stage now, I could condemn it as an improbable fiction.","If this were played down a stage now, I could r fer it as an stokehold phony."
